iter	RMSE
0	0.9540379572
1	0.9473326471
2	0.9428132369
3	0.9385339532
4	0.9347386523
5	0.9297772923
6	0.9263576518
7	0.9217999982
8	0.9162458229
9	0.9129491584
10	0.9110317367
11	0.9064299683
12	0.9028011023
13	0.8991862317
14	0.8951709174
15	0.8906978177
16	0.8867878528
17	0.8830611534
18	0.8792888815
19	0.8765494358
20	0.8731212559
21	0.871326448
22	0.8674626825
23	0.8651444927
24	0.8628309402
25	0.861084278
26	0.8594221186
27	0.8565027042
28	0.8542168767
29	0.8525930595
30	0.8498022887
31	0.8471175772
32	0.8455066867
33	0.8408715612
34	0.839267468
35	0.8359781327
36	0.8337097453
37	0.8309517097
38	0.82832091
39	0.8261833403
40	0.8241596045
41	0.8219276173
42	0.8212930366
43	0.8199011982
44	0.8181520216
45	0.8158797132
46	0.8132376733
47	0.8110425418
48	0.809304418
49	0.8083389745
50	0.8068919657
51	0.8040190388
52	0.8025622162
53	0.8012238896
54	0.7984460591
55	0.7960797245
56	0.7951122774
57	0.793655216
58	0.7920461748
59	0.7893528025
60	0.7884111758
61	0.7873362415
62	0.7844571098
63	0.7833650044
64	0.7826365044
65	0.7817243032
66	0.7810443211
67	0.7798911706
68	0.7771226441
69	0.7744762482
70	0.7723896549
71	0.771808767
72	0.7698845877
73	0.7682169832
74	0.76667318
75	0.7643580743
76	0.7635288369
77	0.760952821
78	0.7593366709
79	0.7586804591
80	0.7555612659
81	0.7547477586
82	0.7531004446
83	0.7524168038
84	0.7500268902
85	0.7485605559
86	0.7471021664
87	0.7458556412
88	0.743889281
89	0.743105055
90	0.7410084958
91	0.7400598553
92	0.7378121806
93	0.7357371545
94	0.7347769135
95	0.7335907036
96	0.7328494851
97	0.7321954136
98	0.7309562906
99	0.7300661431
100	0.7282904482
101	0.7258908042
102	0.7240283584
103	0.7220566299
104	0.7206915907
105	0.7196922247
106	0.7175204715
107	0.7166195998
108	0.7161135242
109	0.7147533692
110	0.7136202191
111	0.7122002428
112	0.7108805569
113	0.7103736624
114	0.709971306
115	0.7087107219
116	0.7064397886
117	0.7052883495
118	0.7044980204
119	0.7022600012
120	0.7017599351
121	0.7014510038
122	0.7001275002
123	0.6992919416
124	0.6989287471
125	0.6975558227
126	0.697185745
127	0.6967554443
128	0.695012063
129	0.6937935918
130	0.6924391433
131	0.691043902
132	0.6908389872
133	0.6886595607
134	0.6869715102
135	0.6860928408
136	0.6855319678
137	0.6849345115
138	0.6838828691
139	0.6835027976
140	0.6829385461
141	0.682318064
142	0.6809568494
143	0.6803401769
144	0.6799486921
145	0.6795930718
146	0.678603711
147	0.6779532039
148	0.6763889575
149	0.6754675255
150	0.6747187417
151	0.6738072512
152	0.6727686361
153	0.6714414889
154	0.6697635297
155	0.6688315788
156	0.6662383102
157	0.6657338838
158	0.6652646235
159	0.6634920922
160	0.6621178251
161	0.6617972123
162	0.6611483133
163	0.6602289228
164	0.6598714226
165	0.6584806894
166	0.6565501002
167	0.6546280591
168	0.653028594
169	0.6502872798
170	0.6489917949
171	0.6484111769
172	0.647312686
173	0.6469393206
174	0.6459749784
175	0.6446562187
176	0.6432404685
177	0.6407750174
178	0.6392037973
179	0.6383615208
180	0.6365194385
181	0.6343482467
182	0.6322591404
183	0.6293462777
184	0.6278750335
185	0.6271311836
186	0.626326367
187	0.6257026884
188	0.6248978741
189	0.6232974603
190	0.6226504979
191	0.6223359002
192	0.6207735993
193	0.6188275558
194	0.6176081575
195	0.6170387585
196	0.6166226465
197	0.6158699767
198	0.6143643448
199	0.6139269556
200	0.6125486884
201	0.6122697134
202	0.6120729046
203	0.6112934635
204	0.6102160371
205	0.6090962208
206	0.6084405567
207	0.6071012734
208	0.605043141
209	0.6042977851
210	0.6031437973
211	0.6022633253
212	0.6010942308
213	0.5998524863
214	0.5993713108
215	0.5976993436
216	0.596704538
217	0.5963061085
218	0.5943449481
219	0.5926028205
220	0.5916608768
221	0.5906015184
222	0.5881128458
223	0.5871406701
224	0.5863917915
225	0.584923422
226	0.5844878555
227	0.5833002524
228	0.5817941581
229	0.5809620912
230	0.5807269695
231	0.5784588742
232	0.5780905989
233	0.5761581614
234	0.5746720658
235	0.5723856921
236	0.5711057113
237	0.5696042602
238	0.5689713863
239	0.5683001193
240	0.5679389683
241	0.5669163515
242	0.5656361527
243	0.5639604671
244	0.5629816594
245	0.5623134255
246	0.5615742508
247	0.5607365208
248	0.5605147269
249	0.5597909582
250	0.5592144061
251	0.5587715616
252	0.558481689
253	0.5578729341
254	0.5570564819
255	0.5568959539
256	0.5563793994
257	0.5556033476
258	0.5548132324
259	0.5541523741
260	0.5528860046
261	0.5520067806
262	0.5502313377
263	0.549384684
264	0.5477199523
265	0.5462119696
266	0.5448423857
267	0.5432731816
268	0.5424281212
269	0.5415297619
270	0.5409584126
271	0.5403484568
272	0.5402052847
273	0.5400847824
274	0.5389495276
275	0.537755928
276	0.5362933408
277	0.5346927818
278	0.534152781
279	0.5336280544
280	0.5330298239
281	0.5327133449
282	0.5313552261
283	0.5306688362
284	0.529375134
285	0.5280476912
286	0.527479106
287	0.5269556263
288	0.5265098759
289	0.5254784784
290	0.5254390136
291	0.5250075862
292	0.5233974901
293	0.522974514
294	0.5224989375
295	0.5220053443
296	0.5213640065
297	0.5208261813
298	0.5201231284
299	0.5200748894
300	0.5185394121
301	0.517237365
302	0.5165657985
303	0.516024518
304	0.514627899
305	0.5145355475
306	0.5137500472
307	0.5136605097
308	0.5129253898
309	0.5111735957
310	0.510880399
311	0.5101682315
312	0.5098397164
313	0.5088242901
314	0.5081988221
315	0.5068434574
316	0.5055293771
317	0.5047561822
318	0.5045464349
319	0.5032392896
320	0.502615807
321	0.5011188756
322	0.5003911789
323	0.4999779195
324	0.4993376521
325	0.4987648372
326	0.497930599
327	0.4968559739
328	0.4963982189
329	0.4957558992
330	0.4956759674
331	0.495248176
332	0.4943536824
333	0.4939774967
334	0.492874698
335	0.4924362773
336	0.4920765832
337	0.4907285588
338	0.4902733186
339	0.4897487929
340	0.4879963181
341	0.4871880213
342	0.4867210573
343	0.4851379253
344	0.4842636417
345	0.4836870817
346	0.483229011
347	0.4825857638
348	0.4818469499
349	0.4818069014
350	0.4806725918
351	0.4793962998
352	0.4787492177
353	0.4780248226
354	0.4772142653
355	0.476452272
356	0.4760116618
357	0.4749649333
358	0.4739220723
359	0.4729546905
360	0.4729186321
361	0.4728855037
362	0.4722068313
363	0.4715458829
364	0.4714092729
365	0.4708229575
366	0.4696094447
367	0.4687356286
368	0.467976223
369	0.4679415712
370	0.4666506046
371	0.4661700741
372	0.4656905564
373	0.4653381561
374	0.4641451722
375	0.4641122411
376	0.4637157125
377	0.4635394303
378	0.4634927372
379	0.4634591993
380	0.4634329924
381	0.4634055268
382	0.4633658083
383	0.4633384563
384	0.4632982766
385	0.463254525
386	0.463224306
387	0.4632018978
388	0.463175327
389	0.4630936808
390	0.4624498533
391	0.4624157409
392	0.4623789452
393	0.4614829658
394	0.461168752
395	0.4600308074
396	0.4595530095
397	0.4591157453
398	0.4585300699
399	0.4573737808
400	0.4567297847
401	0.4556133184
402	0.4552524493
403	0.454806879
404	0.454125976
405	0.4536491333
406	0.452637946
407	0.4520164296
408	0.4515853037
409	0.4507692685
410	0.4499264665
411	0.4494480954
412	0.4490213528
413	0.4477951941
414	0.4470008517
415	0.4464219544
416	0.4461287785
417	0.4453068709
418	0.4444626087
419	0.4430894798
420	0.4421209554
421	0.441318336
422	0.4409310723
423	0.4397697708
424	0.4389138871
425	0.4380891987
426	0.4375482193
427	0.4369138667
428	0.4365370103
429	0.436161278
430	0.4358137105
431	0.4354633454
432	0.4345286555
433	0.4344451656
434	0.433708422
435	0.4334283418
436	0.4326717291
437	0.4316241154
438	0.4307851237
439	0.4301708502
440	0.4299355803
441	0.4290202239
442	0.4289566877
443	0.4286284144
444	0.4276977257
445	0.426620706
446	0.4259101125
447	0.4255468049
448	0.425019186
449	0.4239107634
450	0.4231878811
451	0.4223118888
452	0.4219624335
453	0.421609124
454	0.4213322869
455	0.4209702972
456	0.4206237502
457	0.4202626749
458	0.4194626247
459	0.4192019826
460	0.418348267
461	0.4181753843
462	0.4177237514
463	0.4171296823
464	0.4169115279
465	0.4164709353
466	0.4162249164
467	0.4158391151
468	0.4148729717
469	0.4142860165
470	0.41329437
471	0.4120487846
472	0.4116695578
473	0.4110577052
474	0.4105314385
475	0.41018887
476	0.4098182428
477	0.4094491056
478	0.4085448242
479	0.4080135325
480	0.4072873659
481	0.4060606403
482	0.4055532195
483	0.4044854109
484	0.4035781315
485	0.4029544527
486	0.4019360611
487	0.401513139
488	0.4011493579
489	0.4006682752
490	0.4002737835
491	0.4001512527
492	0.3997670683
493	0.399380174
494	0.399091341
495	0.398774664
496	0.3978568141
497	0.3969515583
498	0.39665604
499	0.3958188523
500	0.3955535779
501	0.3950070525
502	0.3947517213
503	0.3940655419
504	0.3936742301
505	0.3928512087
506	0.3922850133
507	0.3913953735
508	0.3910672824
509	0.3905707168
510	0.3901557323
511	0.3898199219
512	0.3894664258
513	0.3894444762
514	0.3894175436
515	0.3893896562
516	0.3884912473
517	0.3884734521
518	0.3879094213
519	0.3873755592
520	0.3864670989
521	0.3859264582
522	0.3856829894
523	0.3854464555
524	0.3849380278
525	0.3849009101
526	0.384521776
527	0.3836490364
528	0.3832652339
529	0.3828556549
530	0.3825633259
531	0.3819462109
532	0.3816717553
533	0.3811725204
534	0.3807692607
535	0.3804773977
536	0.3799106369
537	0.3797822524
538	0.3790819526
539	0.3788480885
540	0.3780534203
541	0.377652433
542	0.3770562645
543	0.3770362828
544	0.3766874244
545	0.3758726896
546	0.375646193
547	0.3747310329
548	0.374165795
549	0.3738442799
550	0.3738028683
551	0.3735984285
552	0.3733720307
553	0.3733439011
554	0.3731279822
555	0.3724241107
556	0.3722931241
557	0.3719983281
558	0.3714903587
559	0.3714778425
560	0.3710870917
561	0.3708156605
562	0.3701913448
563	0.3694400772
564	0.3691006653
565	0.3686851255
566	0.3682373709
567	0.3677944172
568	0.3669897446
569	0.366139934
570	0.3657800781
571	0.365395341
572	0.3651429053
573	0.3647735222
574	0.3643598516
575	0.3636953918
576	0.3636826069
577	0.3624527409
578	0.3624435928
579	0.3624171378
580	0.3619032267
581	0.3617774717
582	0.3614379837
583	0.3609147003
584	0.3603855408
585	0.3597275872
586	0.3594041882
587	0.3591824501
588	0.3587721965
589	0.3582304997
590	0.3578020547
591	0.3575461427
592	0.3568571668
593	0.3566287751
594	0.3561166153
595	0.3556511422
596	0.355640434
597	0.3555577588
598	0.3550773627
599	0.3547818546
600	0.3543330335
601	0.3543217582
602	0.3543113815
603	0.3528199958
604	0.3520545053
605	0.3516034543
606	0.3513438668
607	0.3507978098
608	0.3503682003
609	0.3496413211
610	0.3490159209
611	0.3489995511
612	0.3481849887
613	0.3478752956
614	0.3476425233
615	0.347495117
616	0.3469725292
617	0.3465160947
618	0.345611669
619	0.3453662888
620	0.3450929729
621	0.3442921998
622	0.3432836336
623	0.3430773376
624	0.3427466014
625	0.3427376472
626	0.3425900304
627	0.3418880146
628	0.3415031576
629	0.3414182894
