iter	Passed	Remaining
0	1	1798
1	3	1645
2	4	1560
3	6	1532
4	7	1522
5	9	1529
6	10	1545
7	12	1555
8	14	1555
9	15	1556
10	17	1553
11	18	1563
12	20	1561
13	22	1565
14	23	1570
15	25	1574
16	27	1569
17	28	1569
18	30	1582
19	32	1584
20	34	1592
21	35	1586
22	37	1587
23	39	1587
24	40	1596
25	42	1586
26	43	1578
27	45	1596
28	47	1598
29	49	1601
30	51	1618
31	53	1619
32	55	1618
33	57	1620
34	58	1616
35	60	1611
36	61	1607
37	63	1603
38	65	1601
39	66	1599
40	68	1595
41	69	1591
42	71	1586
43	72	1583
44	74	1580
45	76	1590
46	78	1585
47	79	1581
48	82	1592
49	83	1587
50	85	1586
51	86	1582
52	88	1576
53	89	1574
54	91	1570
55	92	1565
56	94	1560
57	96	1560
58	97	1558
59	99	1556
60	100	1553
61	102	1550
62	104	1555
63	106	1551
64	107	1547
65	109	1543
66	110	1539
67	112	1536
68	113	1537
69	115	1535
70	117	1536
71	119	1534
72	120	1530
73	122	1536
74	124	1534
75	126	1531
76	128	1536
77	129	1533
78	131	1538
79	133	1536
80	135	1534
81	137	1534
82	138	1533
83	140	1529
84	141	1526
85	143	1524
86	144	1521
87	146	1517
88	148	1515
89	150	1520
90	151	1517
91	153	1515
92	155	1513
93	157	1518
94	159	1514
95	160	1510
96	161	1507
97	163	1505
98	165	1505
99	166	1502
100	168	1500
101	170	1499
102	172	1505
103	175	1509
104	176	1506
105	178	1505
106	180	1509
107	182	1506
108	184	1509
109	186	1507
110	188	1505
111	189	1503
112	191	1507
113	193	1503
114	195	1501
115	196	1499
116	198	1497
117	200	1496
118	201	1494
119	203	1492
120	205	1494
121	207	1492
122	209	1496
123	212	1497
124	213	1495
125	215	1493
126	217	1491
127	218	1489
128	220	1488
129	222	1491
130	225	1495
131	227	1493
132	228	1491
133	230	1489
134	232	1488
135	234	1486
136	236	1486
137	238	1488
138	239	1486
139	241	1485
140	243	1486
141	245	1484
142	247	1483
143	249	1481
144	250	1479
145	252	1476
146	254	1478
147	257	1480
148	258	1477
149	260	1474
150	262	1475
151	264	1474
152	266	1473
153	268	1473
154	270	1474
155	272	1472
156	274	1471
157	275	1470
158	277	1469
159	280	1472
160	282	1472
161	284	1470
162	286	1469
163	288	1468
164	289	1467
165	291	1466
166	293	1464
167	295	1463
168	298	1465
169	299	1463
170	301	1461
171	303	1460
172	305	1458
173	307	1459
174	309	1457
175	310	1455
176	312	1453
177	314	1451
178	315	1449
179	317	1446
180	319	1445
181	320	1442
182	322	1439
183	324	1437
184	325	1435
185	327	1433
186	329	1431
187	330	1428
188	332	1426
189	334	1424
190	336	1425
191	338	1423
192	339	1420
193	341	1418
194	342	1415
195	345	1416
196	347	1415
197	348	1413
198	350	1410
199	352	1408
200	354	1408
201	356	1406
202	357	1403
203	359	1401
204	360	1399
205	362	1397
206	364	1395
207	365	1392
208	367	1390
209	368	1387
210	370	1385
211	372	1383
212	373	1380
213	375	1378
214	376	1375
215	379	1375
216	380	1373
217	382	1371
218	384	1371
219	386	1369
220	387	1366
221	389	1363
222	390	1362
223	392	1359
224	394	1357
225	395	1355
226	397	1352
227	399	1351
228	400	1349
229	402	1347
230	404	1345
231	405	1343
232	407	1340
233	408	1338
234	410	1337
235	412	1335
236	414	1333
237	415	1330
238	417	1330
239	419	1328
240	421	1326
241	422	1324
242	424	1322
243	426	1320
244	427	1317
245	429	1317
246	431	1314
247	432	1312
248	434	1310
249	435	1307
250	437	1305
251	439	1303
252	440	1301
253	442	1300
254	444	1298
255	445	1296
256	447	1293
257	449	1291
258	450	1289
259	452	1286
260	453	1284
261	455	1283
262	457	1281
263	459	1279
264	460	1277
265	462	1275
266	464	1275
267	466	1274
268	468	1272
269	469	1269
270	471	1267
271	472	1265
272	474	1264
273	476	1262
274	478	1260
275	479	1258
276	481	1255
277	483	1254
278	484	1253
279	486	1251
280	488	1248
281	489	1246
282	491	1245
283	493	1243
284	494	1241
285	496	1239
286	498	1237
287	500	1236
288	501	1233
289	503	1231
290	505	1230
291	506	1228
292	508	1226
293	509	1224
294	511	1222
295	513	1221
296	515	1219
297	517	1217
298	518	1215
299	520	1213
300	521	1212
301	523	1210
302	525	1209
303	528	1208
304	530	1208
305	531	1206
306	533	1204
307	535	1202
308	536	1200
309	538	1198
310	540	1196
311	541	1194
312	543	1193
313	545	1191
314	546	1188
315	548	1187
316	550	1185
317	551	1183
318	553	1180
319	554	1178
320	556	1177
321	558	1175
322	559	1173
323	561	1171
324	562	1169
325	565	1168
326	566	1166
327	568	1164
328	570	1163
329	572	1162
330	573	1159
331	575	1157
332	577	1155
333	578	1154
334	580	1152
335	581	1150
336	583	1147
337	585	1145
338	586	1143
339	588	1141
340	589	1140
341	591	1138
342	593	1136
343	594	1134
344	596	1131
345	598	1131
346	600	1129
347	601	1127
348	603	1124
349	604	1123
350	606	1121
351	608	1119
352	609	1117
353	611	1115
354	612	1113
355	614	1111
356	617	1111
357	618	1109
358	620	1108
359	622	1106
360	623	1104
361	625	1102
362	626	1099
363	628	1098
364	630	1096
365	631	1094
366	634	1093
367	635	1091
368	637	1090
369	639	1088
370	640	1086
371	642	1084
372	644	1083
373	645	1080
374	647	1078
375	648	1076
376	650	1074
377	651	1072
378	653	1070
379	654	1068
380	656	1066
381	657	1064
382	659	1062
383	661	1060
384	662	1058
385	664	1056
386	666	1055
387	667	1052
388	668	1050
389	670	1048
390	672	1046
391	673	1045
392	676	1044
393	677	1042
394	680	1042
395	682	1040
396	684	1039
397	685	1037
398	687	1035
399	689	1033
400	691	1032
401	692	1030
402	694	1028
403	696	1027
404	697	1025
405	700	1024
406	701	1022
407	703	1020
408	705	1019
409	707	1018
410	709	1016
411	710	1014
412	712	1012
413	714	1011
414	716	1009
415	718	1008
416	720	1007
417	722	1005
418	724	1005
419	727	1004
420	728	1002
421	731	1001
422	733	1000
423	735	998
424	736	997
425	738	995
426	741	994
427	742	992
428	744	990
429	746	989
430	748	988
431	750	986
432	751	984
433	753	983
434	755	981
435	757	979
436	758	977
437	761	977
438	763	975
439	765	974
440	767	972
441	769	971
442	771	970
443	773	968
444	775	966
445	776	965
446	778	963
447	780	961
448	782	960
449	784	958
450	786	957
451	788	955
452	790	953
453	792	953
454	794	951
455	796	949
456	798	948
457	800	946
458	802	945
459	805	945
460	807	944
461	809	942
462	811	941
463	812	939
464	814	937
465	816	935
466	818	934
467	820	932
468	822	931
469	824	929
470	826	927
471	827	926
472	829	924
473	831	922
474	833	921
475	835	919
476	836	917
477	838	915
478	841	915
479	843	914
480	845	912
481	847	910
482	849	909
483	850	907
484	853	905
485	855	904
486	857	903
487	859	901
488	860	899
489	862	897
490	864	895
491	865	894
492	867	892
493	869	890
494	871	889
495	873	887
496	874	885
497	877	884
498	879	882
499	880	880
500	882	879
501	884	877
502	885	875
503	888	874
504	889	872
505	891	870
506	894	869
507	895	867
508	897	865
509	899	864
510	901	862
511	903	860
512	904	858
513	906	857
514	908	855
515	910	853
516	911	851
517	913	849
518	915	848
519	916	846
520	918	844
521	919	842
522	921	840
523	922	838
524	924	836
525	926	834
526	927	832
527	929	831
528	931	829
529	933	827
530	934	825
531	936	823
532	937	821
533	939	819
534	941	818
535	942	816
536	944	814
537	946	812
538	948	811
539	950	809
540	951	807
541	953	805
542	955	803
543	956	801
544	958	800
545	959	798
546	961	796
547	963	794
548	964	792
549	967	791
550	968	789
551	970	787
552	971	785
553	973	783
554	974	781
555	976	779
556	978	777
557	979	775
558	981	774
559	982	772
560	984	770
561	986	768
562	987	766
563	989	764
564	990	762
565	992	761
566	994	759
567	996	757
568	997	755
569	999	753
570	1001	752
571	1002	750
572	1004	748
573	1006	746
574	1007	744
575	1009	742
576	1010	740
577	1012	739
578	1013	737
579	1015	735
580	1017	733
581	1018	731
582	1020	729
583	1021	727
584	1023	725
585	1024	724
586	1026	722
587	1028	720
588	1029	718
589	1031	716
590	1033	715
591	1035	713
592	1036	711
593	1038	709
594	1040	708
595	1041	706
596	1043	704
597	1044	702
598	1046	700
599	1048	698
600	1049	696
601	1051	694
602	1052	692
603	1054	691
604	1055	689
605	1057	687
606	1058	685
607	1060	683
608	1062	682
609	1063	680
610	1065	678
611	1067	676
612	1068	674
613	1070	672
614	1071	670
615	1073	669
616	1074	667
617	1076	665
618	1078	663
619	1079	661
620	1081	660
621	1083	658
622	1085	656
623	1087	655
624	1088	653
625	1090	651
626	1091	649
627	1093	647
628	1094	645
629	1097	644
630	1098	642
631	1100	640
632	1101	638
633	1103	637
634	1105	635
635	1106	633
636	1109	632
637	1110	630
638	1112	628
639	1114	626
640	1116	625
641	1117	623
642	1119	621
643	1120	619
644	1122	617
645	1124	615
646	1125	614
647	1127	612
648	1128	610
649	1130	608
650	1131	606
651	1134	605
652	1135	603
653	1136	601
654	1139	599
655	1140	598
656	1142	596
657	1143	594
658	1145	592
659	1146	590
660	1148	588
661	1149	587
662	1151	585
663	1152	583
664	1154	581
665	1155	579
666	1157	577
667	1159	576
668	1160	574
669	1162	572
670	1164	570
671	1165	568
672	1167	567
673	1168	565
674	1171	563
675	1172	562
676	1174	560
677	1176	558
678	1177	556
679	1179	555
680	1181	553
681	1182	551
682	1184	549
683	1186	547
684	1187	546
685	1189	544
686	1190	542
687	1192	540
688	1194	539
689	1196	537
690	1197	535
691	1199	533
692	1200	532
693	1202	530
694	1204	528
695	1206	526
696	1207	525
697	1209	523
698	1212	521
699	1213	520
700	1215	518
701	1217	516
702	1219	515
703	1220	513
704	1222	511
705	1225	510
706	1226	508
707	1228	506
708	1230	505
709	1232	503
710	1234	501
711	1235	499
712	1240	499
713	1246	499
714	1251	498
715	1261	500
716	1271	501
717	1273	500
718	1275	498
719	1277	496
720	1280	495
721	1283	494
722	1288	493
723	1290	491
724	1291	489
725	1293	488
726	1294	486
727	1296	484
728	1298	482
729	1299	480
730	1301	478
731	1303	477
732	1304	475
733	1306	473
734	1308	471
735	1310	470
736	1312	468
737	1313	466
738	1315	464
739	1317	462
740	1318	460
741	1320	459
742	1322	457
743	1324	455
744	1325	453
745	1327	451
746	1329	450
747	1331	448
748	1332	446
749	1334	444
750	1336	443
751	1338	441
752	1340	439
753	1341	437
754	1343	436
755	1345	434
756	1347	432
757	1348	430
758	1350	428
759	1352	426
760	1353	425
761	1355	423
762	1356	421
763	1358	419
764	1360	417
765	1361	415
766	1363	414
767	1364	412
768	1366	410
769	1368	408
770	1369	406
771	1371	404
772	1372	403
773	1374	401
774	1375	399
775	1377	397
776	1379	395
777	1381	394
778	1383	392
779	1384	390
780	1386	388
781	1388	386
782	1389	385
783	1391	383
784	1392	381
785	1394	379
786	1396	377
787	1397	376
788	1399	374
789	1400	372
790	1403	370
791	1405	369
792	1407	367
793	1408	365
794	1410	363
795	1412	361
796	1413	360
797	1415	358
798	1416	356
799	1418	354
800	1420	352
801	1422	351
802	1424	349
803	1425	347
804	1427	345
805	1428	343
806	1430	342
807	1431	340
808	1433	338
809	1435	336
810	1436	334
811	1438	332
812	1439	331
813	1441	329
814	1443	327
815	1444	325
816	1446	323
817	1448	322
818	1449	320
819	1451	318
820	1452	316
821	1454	314
822	1455	313
823	1458	311
824	1459	309
825	1461	307
826	1462	306
827	1464	304
828	1465	302
829	1467	300
830	1469	298
831	1470	297
832	1472	295
833	1473	293
834	1476	291
835	1477	289
836	1479	288
837	1480	286
838	1482	284
839	1483	282
840	1485	280
841	1487	279
842	1488	277
843	1490	275
844	1492	273
845	1494	272
846	1495	270
847	1497	268
848	1499	266
849	1500	264
850	1502	263
851	1503	261
852	1506	259
853	1507	257
854	1509	255
855	1511	254
856	1512	252
857	1514	250
858	1515	248
859	1517	247
860	1519	245
861	1521	243
862	1523	241
863	1524	239
864	1526	238
865	1527	236
866	1529	234
867	1531	232
868	1532	231
869	1534	229
870	1536	227
871	1538	225
872	1540	224
873	1541	222
874	1543	220
875	1545	218
876	1546	216
877	1548	215
878	1549	213
879	1551	211
880	1553	209
881	1554	208
882	1556	206
883	1558	204
884	1559	202
885	1561	200
886	1562	199
887	1564	197
888	1565	195
889	1567	193
890	1569	191
891	1570	190
892	1572	188
893	1574	186
894	1577	185
895	1578	183
896	1580	181
897	1581	179
898	1583	177
899	1585	176
900	1586	174
901	1588	172
902	1589	170
903	1591	169
904	1593	167
905	1594	165
906	1596	163
907	1597	161
908	1599	160
909	1602	158
910	1603	156
