,Dataset,Regressor,Metric,Score
0,v1_week,Decision Tree,r2,-1.2097192291012915
1,v1_week,Decision Tree,r2,-0.7132694940621338
2,v1_week,Decision Tree,r2,-0.826389499009966
3,v1_week,Decision Tree,r2,-0.6551036765376306
4,v1_week,Decision Tree,r2,-0.5170313697246478
5,v1_week,Decision Tree,mae,1.1691059066167968
6,v1_week,Decision Tree,mae,1.0178206268974281
7,v1_week,Decision Tree,mae,1.0434726093308737
8,v1_week,Decision Tree,mae,1.029635711853631
9,v1_week,Decision Tree,mae,0.988339983493696
10,v1_week,Decision Tree,pmc,-0.0025562586050042538
11,v1_week,Decision Tree,pmc,0.17296322063154024
12,v1_week,Decision Tree,pmc,0.13460830778743305
13,v1_week,Decision Tree,pmc,0.20365117671715915
14,v1_week,Decision Tree,pmc,0.21117581405790525
15,v1_week,Hist Gradient Tree,r2,0.0849853088280842
16,v1_week,Hist Gradient Tree,r2,0.06736677332841134
17,v1_week,Hist Gradient Tree,r2,0.2077732146132374
18,v1_week,Hist Gradient Tree,r2,-0.037630413409774244
19,v1_week,Hist Gradient Tree,r2,0.09345401929774266
20,v1_week,Hist Gradient Tree,mae,0.7645673571787126
21,v1_week,Hist Gradient Tree,mae,0.7746291367375769
22,v1_week,Hist Gradient Tree,mae,0.6840838289499367
23,v1_week,Hist Gradient Tree,mae,0.7773294306790524
24,v1_week,Hist Gradient Tree,mae,0.7881084280584736
25,v1_week,Hist Gradient Tree,pmc,0.3393174535132911
26,v1_week,Hist Gradient Tree,pmc,0.3502071203436068
27,v1_week,Hist Gradient Tree,pmc,0.4674273517038147
28,v1_week,Hist Gradient Tree,pmc,0.25189785376410834
29,v1_week,Hist Gradient Tree,pmc,0.33368047673475365
30,v1_week,Random Forest,r2,0.07889741886713153
31,v1_week,Random Forest,r2,0.10730603294713015
32,v1_week,Random Forest,r2,0.18760182481691545
33,v1_week,Random Forest,r2,-0.012375626772155757
34,v1_week,Random Forest,r2,0.1442500484657373
35,v1_week,Random Forest,mae,0.7614264671952798
36,v1_week,Random Forest,mae,0.7629148730297808
37,v1_week,Random Forest,mae,0.6990742078831241
38,v1_week,Random Forest,mae,0.7706038976151836
39,v1_week,Random Forest,mae,0.7712151342098141
40,v1_week,Random Forest,pmc,0.3306330169236781
41,v1_week,Random Forest,pmc,0.3626767352828455
42,v1_week,Random Forest,pmc,0.43613105327816915
43,v1_week,Random Forest,pmc,0.25200861565440447
44,v1_week,Random Forest,pmc,0.3839897361078825
45,v1_week,XGBoost,r2,-0.0604682693267371
46,v1_week,XGBoost,r2,-0.03955330054694639
47,v1_week,XGBoost,r2,0.11186742023090679
48,v1_week,XGBoost,r2,-0.15589975063400585
49,v1_week,XGBoost,r2,0.042278778216898294
50,v1_week,XGBoost,mae,0.8196961353071711
51,v1_week,XGBoost,mae,0.8306008999626265
52,v1_week,XGBoost,mae,0.7430999260032477
53,v1_week,XGBoost,mae,0.8383263418194936
54,v1_week,XGBoost,mae,0.8103852025156666
55,v1_week,XGBoost,pmc,0.2660930332223461
56,v1_week,XGBoost,pmc,0.30006357614999557
57,v1_week,XGBoost,pmc,0.414160290838125
58,v1_week,XGBoost,pmc,0.2010887502217188
59,v1_week,XGBoost,pmc,0.30457580606960355
60,v1_week,AdaBoost,r2,0.14047533849541438
61,v1_week,AdaBoost,r2,0.07953471571985693
62,v1_week,AdaBoost,r2,0.19295817300887708
63,v1_week,AdaBoost,r2,0.06555831211195029
