feature,importance_mean,importance_std
day,0.031230394698289275,0.017733135131538118
sds_2,0.021973939825349766,0.0077167663840677385
sds_1,0.017352182799090964,0.010026833757641629
race_6.0,0.013219019036966762,0.007465172168850517
sleep_1,0.009660061320616453,0.005278416229939735
num_id,0.0012493983655128104,0.02507871487124792
num_id,0.0012493983655128104,0.02507871487124792
week,0.0,0.0
sleep_3,-0.0041972292287784764,0.0010654579258332017
mood_1,-0.007604768769867954,0.00887081063649485
sds_3,-0.010541496546887052,0.005335419831256686
stress,-0.02271101944601763,0.008505024277963512
marital_status_0.0,-0.035168582318035345,0.010768354053768078
marital_status_1.0,-0.06410663532476532,0.013664970389748673
race_2.0,-0.06938944498129396,0.011450688887220974
income_satisfaction,-0.13492420668936977,0.01952294685367518
