,Dataset,Regressor,Metric,Score
0,v1_day,Hist Gradient Boost,r2,-0.009383657782164878
1,v1_day,Hist Gradient Boost,r2,0.05889135408649182
2,v1_day,Hist Gradient Boost,r2,0.07213273982044366
3,v1_day,Hist Gradient Boost,mae,0.7823309397136075
4,v1_day,Hist Gradient Boost,mae,0.7737741233409033
5,v1_day,Hist Gradient Boost,mae,0.761416606923015
6,v1_day,Hist Gradient Boost,pmc,0.2841224521984633
7,v1_day,Hist Gradient Boost,pmc,0.3451766548144731
8,v1_day,Hist Gradient Boost,pmc,0.3400754280723097
9,v1_day,XGBoost,r2,-0.149348134993611
10,v1_day,XGBoost,r2,-0.09095339697463256
11,v1_day,XGBoost,r2,-0.023446232112416254
12,v1_day,XGBoost,mae,0.8262493857018358
13,v1_day,XGBoost,mae,0.8291985006497904
14,v1_day,XGBoost,mae,0.8020119463207088
15,v1_day,XGBoost,pmc,0.2484714870681016
16,v1_day,XGBoost,pmc,0.2707083517510231
17,v1_day,XGBoost,pmc,0.3022684599841613
18,v1_day,CatBoost,r2,0.0037930138707005234
19,v1_day,CatBoost,r2,0.09289740440265015
20,v1_day,CatBoost,r2,0.11065926239724455
21,v1_day,CatBoost,mae,0.7666098312958087
22,v1_day,CatBoost,mae,0.7696705239758521
23,v1_day,CatBoost,mae,0.7479339712901075
24,v1_day,CatBoost,pmc,0.3037257729321086
25,v1_day,CatBoost,pmc,0.36396556318511
26,v1_day,CatBoost,pmc,0.3662090400417233
27,v2_day,Hist Gradient Boost,r2,-0.12943717948685451
28,v2_day,Hist Gradient Boost,r2,-0.03889607339790313
29,v2_day,Hist Gradient Boost,r2,-0.06339055330859544
30,v2_day,Hist Gradient Boost,mae,0.845819188356101
31,v2_day,Hist Gradient Boost,mae,0.8018281800447205
32,v2_day,Hist Gradient Boost,mae,0.8001799052001285
33,v2_day,Hist Gradient Boost,pmc,0.14997504661600147
34,v2_day,Hist Gradient Boost,pmc,0.2225176927101312
35,v2_day,Hist Gradient Boost,pmc,0.17377949469494974
36,v2_day,XGBoost,r2,-0.2226425743889846
37,v2_day,XGBoost,r2,-0.09457150363546307
38,v2_day,XGBoost,r2,-0.18191301707262997
39,v2_day,XGBoost,mae,0.8843138183186062
40,v2_day,XGBoost,mae,0.8076954148080469
41,v2_day,XGBoost,mae,0.8384092754250169
42,v2_day,XGBoost,pmc,0.10903617215006467
43,v2_day,XGBoost,pmc,0.2204119395447366
44,v2_day,XGBoost,pmc,0.12288747070287845
45,v2_day,CatBoost,r2,-0.089324797535965
46,v2_day,CatBoost,r2,0.00010908840464762815
47,v2_day,CatBoost,r2,-0.05073323459299539
48,v2_day,CatBoost,mae,0.8376009362218658
49,v2_day,CatBoost,mae,0.7858746894898094
50,v2_day,CatBoost,mae,0.7940502280137478
51,v2_day,CatBoost,pmc,0.15632880305228847
52,v2_day,CatBoost,pmc,0.24045684293418726
53,v2_day,CatBoost,pmc,0.15786464001174666
54,v1_week,Hist Gradient Boost,r2,-0.009383657782164878
55,v1_week,Hist Gradient Boost,r2,0.05889135408649182
56,v1_week,Hist Gradient Boost,r2,0.07213273982044366
57,v1_week,Hist Gradient Boost,mae,0.7823309397136075
58,v1_week,Hist Gradient Boost,mae,0.7737741233409033
59,v1_week,Hist Gradient Boost,mae,0.761416606923015
60,v1_week,Hist Gradient Boost,pmc,0.2841224521984633
61,v1_week,Hist Gradient Boost,pmc,0.3451766548144731
62,v1_week,Hist Gradient Boost,pmc,0.3400754280723097
63,v1_week,XGBoost,r2,-0.149348134993611
64,v1_week,XGBoost,r2,-0.09095339697463256
65,v1_week,XGBoost,r2,-0.023446232112416254
66,v1_week,XGBoost,mae,0.8262493857018358
67,v1_week,XGBoost,mae,0.8291985006497904
68,v1_week,XGBoost,mae,0.8020119463207088
69,v1_week,XGBoost,pmc,0.2484714870681016
70,v1_week,XGBoost,pmc,0.2707083517510231
71,v1_week,XGBoost,pmc,0.3022684599841613
72,v1_week,CatBoost,r2,0.0037930138707005234
73,v1_week,CatBoost,r2,0.09289740440265015
74,v1_week,CatBoost,r2,0.11065926239724455
75,v1_week,CatBoost,mae,0.7666098312958087
76,v1_week,CatBoost,mae,0.7696705239758521
77,v1_week,CatBoost,mae,0.7479339712901075
78,v1_week,CatBoost,pmc,0.3037257729321086
79,v1_week,CatBoost,pmc,0.36396556318511
80,v1_week,CatBoost,pmc,0.3662090400417233
81,v2_week,Hist Gradient Boost,r2,-0.12943717948685451
82,v2_week,Hist Gradient Boost,r2,-0.03889607339790313
83,v2_week,Hist Gradient Boost,r2,-0.06339055330859544
84,v2_week,Hist Gradient Boost,mae,0.845819188356101
85,v2_week,Hist Gradient Boost,mae,0.8018281800447205
86,v2_week,Hist Gradient Boost,mae,0.8001799052001285
87,v2_week,Hist Gradient Boost,pmc,0.14997504661600147
88,v2_week,Hist Gradient Boost,pmc,0.2225176927101312
89,v2_week,Hist Gradient Boost,pmc,0.17377949469494974
90,v2_week,XGBoost,r2,-0.2226425743889846
91,v2_week,XGBoost,r2,-0.09457150363546307
92,v2_week,XGBoost,r2,-0.18191301707262997
93,v2_week,XGBoost,mae,0.8843138183186062
94,v2_week,XGBoost,mae,0.8076954148080469
95,v2_week,XGBoost,mae,0.8384092754250169
96,v2_week,XGBoost,pmc,0.10903617215006467
97,v2_week,XGBoost,pmc,0.2204119395447366
98,v2_week,XGBoost,pmc,0.12288747070287845
99,v2_week,CatBoost,r2,-0.089324797535965
100,v2_week,CatBoost,r2,0.00010908840464762815
101,v2_week,CatBoost,r2,-0.05073323459299539
102,v2_week,CatBoost,mae,0.8376009362218658
103,v2_week,CatBoost,mae,0.7858746894898094
104,v2_week,CatBoost,mae,0.7940502280137478
105,v2_week,CatBoost,pmc,0.15632880305228847
106,v2_week,CatBoost,pmc,0.24045684293418726
107,v2_week,CatBoost,pmc,0.15786464001174666
