"ROW_ID","ROW_VERSION","participant_id","dt_response","week","app_al","app_ct","app_ef","app_md","app_mo","app_pm","app_rx","app_sl","app_wm"
"7748","7","BLUE-00048","2014-08-01 10:57:00+00:00","3","0","0","1","0","0","0","1","0","0"
"7749","7","BLUE-00049","2014-08-01 16:28:00+00:00","1","0","1","1","1","0","0","1","0","1"
"7750","7","BLUE-00050","2014-08-09 02:25:00+00:00","1","0","0","0","1","0","0","1","0","0"
"7751","7","BLUE-00050","2014-09-09 01:22:00+00:00","6","0","1","0","0","0","0","1","0","0"
"7752","7","BLUE-00050","2014-11-02 17:16:00+00:00","14","0","1","1","0","0","0","0","0","1"
"7753","7","BLUE-00051","2014-08-05 17:32:00+00:00","1","0","0","0","0","0","0","0","0","0"
"7754","7","BLUE-00051","2014-09-01 13:15:00+00:00","5","0","0","0","1","0","0","0","0","0"
"7755","7","BLUE-00051","2014-09-29 19:10:00+00:00","9","0","0","0","0","0","0","0","0","0"
"7756","7","BLUE-00051","2014-10-27 15:18:00+00:00","13","0","0","0","0","0","0","0","0","0"
"7757","7","BLUE-00052","2014-08-04 21:24:00+00:00","0","0","1","0","1","1","1","1","1","0"
"7758","7","BLUE-00052","2014-09-01 18:16:00+00:00","4","0","1","0","1","1","0","1","1","0"
"7759","7","BLUE-00052","2014-09-29 16:29:00+00:00","8","0","1","0","1","1","0","1","1","0"
"7760","7","BLUE-00052","2014-10-27 16:26:00+00:00","12","0","1","0","1","1","0","1","1","0"
"7761","7","BLUE-00053","2014-08-05 07:47:00+00:00","1","0","0","1","0","0","0","0","0","0"
"7762","7","BLUE-00053","2014-09-01 17:37:00+00:00","4","0","1","1","0","1","0","1","0","0"
"7763","7","BLUE-00053","2014-09-29 23:43:00+00:00","8","0","1","0","0","1","0","1","0","0"
"7764","7","BLUE-00053","2014-10-27 16:01:00+00:00","12","0","0","1","0","1","0","0","0","0"
"7765","7","BLUE-00054","2014-08-07 19:52:00+00:00","1","0","0","1","1","0","0","0","0","0"
"7766","7","BLUE-00054","2014-09-04 21:17:00+00:00","5","0","0","1","0","0","0","1","0","1"
"7767","7","BLUE-00054","2014-10-02 22:35:00+00:00","9","0","0","1","0","1","0","1","0","0"
"7768","7","BLUE-00054","2014-10-30 21:28:00+00:00","13","0","0","1","0","0","0","1","0","0"
"7769","7","BLUE-00055","2014-08-08 16:17:00+00:00","1","0","0","1","0","0","0","0","0","1"
"7770","7","BLUE-00055","2014-09-05 16:27:00+00:00","5","0","0","1","0","0","0","0","0","1"
"7771","7","BLUE-00055","2014-10-03 20:12:00+00:00","9","0","0","1","0","0","0","0","0","0"
"7772","7","BLUE-00055","2014-10-31 14:21:00+00:00","13","0","0","1","0","0","0","0","0","0"
"7773","7","BLUE-00058","2014-08-16 07:52:00+00:00","1","0","0","1","1","1","0","1","1","0"
"7774","7","BLUE-00060","2014-08-17 05:16:00+00:00","1","0","0","1","0","0","0","0","0","0"
"7775","7","BLUE-00060","2014-09-14 14:32:00+00:00","5","0","0","1","0","1","0","1","1","0"
"7776","7","BLUE-00062","2014-08-14 23:02:00+00:00","0","0","1","1","0","1","0","1","1","1"
"7777","7","BLUE-00062","2014-09-11 16:10:00+00:00","4","0","1","1","0","1","0","1","1","1"
"7778","7","BLUE-00062","2014-10-10 05:28:00+00:00","9","0","1","1","0","0","0","1","1","1"
"7779","7","BLUE-00063","2014-08-16 15:49:00+00:00","1","0","0","1","0","0","0","0","0","1"
"7780","7","BLUE-00063","2014-09-13 21:13:00+00:00","5","0","0","1","0","0","0","0","0","1"
"7781","7","BLUE-00063","2014-10-11 21:24:00+00:00","9","0","0","1","0","0","0","0","0","1"
"7782","7","BLUE-00064","2014-08-15 23:11:00+00:00","0","0","0","1","0","0","0","0","1","1"
"7783","7","BLUE-00064","2014-09-12 17:38:00+00:00","4","0","0","1","0","0","0","1","1","0"
"7784","7","BLUE-00064","2014-10-10 16:42:00+00:00","8","0","0","1","1","0","0","0","1","0"
"7785","7","BLUE-00064","2014-11-07 17:32:00+00:00","12","0","0","1","0","0","0","1","1","0"
"7786","7","BLUE-00065","2014-08-28 23:05:00+00:00","2","0","1","0","0","0","0","0","0","0"
"7787","7","BLUE-00065","2014-09-25 15:20:00+00:00","6","0","1","0","0","1","0","0","0","0"
"7788","7","BLUE-00065","2014-10-23 22:07:00+00:00","10","0","1","0","0","0","0","0","0","0"
"7789","7","BLUE-00065","2014-11-20 21:19:00+00:00","14","0","0","0","0","0","0","1","0","0"
"7790","7","BLUE-00066","2014-09-10 14:27:00+00:00","4","0","1","1","0","1","0","1","1","0"
"7791","7","BLUE-00066","2014-09-18 22:31:00+00:00","5","1","1","1","1","1","1","1","1","1"
"7792","7","BLUE-00066","2014-10-16 15:51:00+00:00","9","1","1","1","1","1","1","1","1","1"
"7793","7","BLUE-00066","2014-11-13 17:49:00+00:00","13","0","1","0","1","1","1","0","1","0"
"7794","7","BLUE-00067","2014-08-19 18:52:00+00:00","0","0","0","1","0","0","0","0","1","1"
"7795","7","BLUE-00067","2014-09-17 03:40:00+00:00","5","0","0","1","1","0","0","0","1","1"
"7796","7","BLUE-00067","2014-11-12 06:12:00+00:00","13","0","0","1","0","0","0","0","1","1"
"7797","7","BLUE-00070","2014-08-28 12:41:00+00:00","1","0","0","1","0","0","0","0","0","1"
"7798","7","BLUE-00070","2014-09-25 15:35:00+00:00","5","0","0","1","0","1","0","0","0","0"
