"ROW_ID","ROW_VERSION","participant_id","dt_response","week","happ_bh","happ_f","happ_fts","happ_inc","happ_ir","happ_iw","happ_m","happ_mdi","happ_mh","happ_o","happ_o_description"
"14154","10","BLUE-00048","2014-08-01 11:00:09+00:00","3","0","1","0","0","0","0","0","0","1","0","0"
"14155","10","BLUE-00049","2014-08-01 16:31:58+00:00","1","1","0","0","0","0","1","0","0","0","0","0"
"14156","10","BLUE-00050","2014-08-09 02:31:06+00:00","1","1","0","0","0","0","1","0","1","0","0","0"
"14157","10","BLUE-00050","2014-09-09 01:21:29+00:00","6","1","0","0","0","0","0","0","1","0","0","0"
"14158","10","BLUE-00050","2014-11-02 17:16:22+00:00","14","1","0","0","0","0","0","1","0","0","0","0"
"14159","10","BLUE-00051","2014-08-05 17:34:51+00:00","1","1","0","0","0","0","0","1","0","0","0","0"
"14160","10","BLUE-00051","2014-09-01 13:15:58+00:00","5","1","0","0","0","0","0","1","0","1","0","0"
"14161","10","BLUE-00051","2014-09-29 19:09:32+00:00","9","1","0","0","0","0","0","1","0","0","0","0"
"14162","10","BLUE-00051","2014-10-27 15:17:52+00:00","13","1","0","0","0","0","0","0","0","0","0","0"
"14163","10","BLUE-00052","2014-08-04 21:28:34+00:00","0","1","0","0","0","0","0","1","1","1","0","0"
"14164","10","BLUE-00052","2014-09-01 18:09:34+00:00","4","0","0","0","0","0","0","0","0","1","0","0"
"14165","10","BLUE-00052","2014-09-29 16:29:29+00:00","8","1","0","0","0","1","0","1","1","1","0","0"
"14166","10","BLUE-00052","2014-10-27 16:28:12+00:00","12","1","0","0","0","1","0","1","1","1","1","Mental Health through new technologies now available by cell phone apps"
"14167","10","BLUE-00053","2014-08-05 07:49:59+00:00","1","1","0","0","0","1","0","1","1","1","0","0"
"14168","10","BLUE-00053","2014-09-01 23:29:30+00:00","4","0","0","0","0","1","0","1","1","1","0","0"
"14169","10","BLUE-00053","2014-09-29 23:44:22+00:00","8","1","0","0","0","0","0","1","0","1","1","Addiction"
"14170","10","BLUE-00053","2014-10-27 16:03:02+00:00","12","0","0","0","0","1","0","1","1","1","0","0"
"14171","10","BLUE-00054","2014-08-07 19:53:41+00:00","1","0","0","0","0","1","1","1","1","1","0","0"
"14172","10","BLUE-00054","2014-09-04 21:16:03+00:00","5","0","0","0","0","0","1","1","1","1","0","0"
"14173","10","BLUE-00054","2014-10-02 22:36:09+00:00","9","0","1","0","0","1","1","1","1","1","0","0"
"14174","10","BLUE-00054","2014-10-30 21:26:50+00:00","13","0","0","0","0","0","0","1","1","1","0","0"
"14175","10","BLUE-00055","2014-08-08 16:19:34+00:00","1","0","0","1","0","0","0","0","0","0","1","UCSF study"
"14176","10","BLUE-00055","2014-09-05 16:30:17+00:00","5","0","0","0","0","0","0","0","0","1","0","0"
"14177","10","BLUE-00055","2014-10-03 20:14:02+00:00","9","0","0","0","0","0","0","0","0","0","1","0"
"14178","10","BLUE-00055","2014-10-31 14:20:13+00:00","13","0","0","0","1","0","0","0","0","0","1","Amazon giftcard"
"14179","10","BLUE-00058","2014-08-16 07:54:09+00:00","1","0","0","0","0","1","1","0","1","1","0","0"
"14180","10","BLUE-00060","2014-08-17 20:53:19+00:00","1","0","0","0","0","0","0","0","0","1","0","0"
"14181","10","BLUE-00060","2014-09-14 14:33:26+00:00","5","0","0","0","0","0","0","1","0","1","0","0"
"14182","10","BLUE-00062","2014-08-14 23:13:30+00:00","0","1","0","0","0","1","1","1","1","1","0","0"
"14183","10","BLUE-00062","2014-09-11 16:09:57+00:00","4","1","0","0","0","1","1","1","1","1","1","to aid in my studies and my future"
"14184","10","BLUE-00062","2014-10-10 05:29:16+00:00","9","0","0","0","0","1","1","1","1","1","1","to improve school"
"14185","10","BLUE-00063","2014-08-16 15:50:48+00:00","1","0","0","0","0","0","0","1","1","1","0","0"
"14186","10","BLUE-00063","2014-09-15 03:14:51+00:00","5","0","0","0","0","0","0","1","1","1","0","0"
"14187","10","BLUE-00063","2014-10-11 17:29:35+00:00","9","0","0","0","0","0","0","1","1","0","0","0"
"14188","10","BLUE-00064","2014-08-15 23:12:50+00:00","0","0","0","0","0","0","0","1","0","1","0","0"
"14189","10","BLUE-00064","2014-09-12 17:37:08+00:00","4","0","0","0","0","0","0","1","0","1","0","0"
"14190","10","BLUE-00064","2014-10-10 16:43:30+00:00","8","0","0","0","0","0","0","1","0","1","0","0"
"14191","10","BLUE-00064","2014-11-07 17:27:36+00:00","12","0","1","0","0","0","0","1","0","1","0","0"
"14192","10","BLUE-00065","2014-08-28 23:07:59+00:00","2","0","0","0","0","0","0","0","1","0","0","0"
"14193","10","BLUE-00065","2014-09-25 15:21:16+00:00","6","0","0","0","0","0","0","1","1","0","0","0"
"14194","10","BLUE-00065","2014-10-23 22:08:25+00:00","10","1","0","0","0","0","0","0","1","0","0","0"
"14195","10","BLUE-00065","2014-11-20 21:23:30+00:00","14","1","0","0","0","0","0","0","1","0","0","0"
"14196","10","BLUE-00066","2014-09-10 14:26:48+00:00","4","1","1","0","0","1","1","1","1","1","0","0"
"14197","10","BLUE-00066","2014-09-18 22:18:54+00:00","5","1","1","0","0","1","1","1","1","1","1","Interest"
"14198","10","BLUE-00066","2014-10-16 15:52:03+00:00","9","1","1","0","0","1","1","1","1","1","0","0"
"14199","10","BLUE-00066","2014-11-13 17:50:36+00:00","13","1","0","0","0","1","1","1","1","1","0","0"
"14200","10","BLUE-00067","2014-08-19 18:53:59+00:00","0","0","1","0","0","0","0","1","0","0","0","0"
"14201","10","BLUE-00067","2014-09-17 03:42:09+00:00","5","0","1","0","0","0","0","0","0","1","0","0"
"14202","10","BLUE-00067","2014-10-14 16:01:32+00:00","8","0","1","0","0","0","0","1","0","0","0","0"
"14203","10","BLUE-00067","2014-11-12 06:12:59+00:00","13","0","1","0","0","0","0","1","0","0","0","0"
"14204","10","BLUE-00070","2014-08-28 12:43:19+00:00","1","0","0","1","0","0","0","0","0","0","1","Research participant"
"14205","10","BLUE-00070","2014-09-25 15:36:12+00:00","5","0","0","0","0","0","0","0","0","1","0","0"
"14206","10","BLUE-00070","2014-10-23 15:06:05+00:00","9","0","0","0","0","0","0","1","0","1","1","Study"
"14207","10","BLUE-00070","2014-11-20 18:35:41+00:00","13","0","0","0","0","0","0","0","0","1","1","Study"
"14208","10","BLUE-00072","2014-09-03 20:41:48+00:00","1","0","0","1","0","0","0","0","0","0","1","Part of a study"
"14209","10","BLUE-00072","2014-10-01 17:05:13+00:00","5","0","0","1","0","0","0","0","0","0","1","Part of a study"
