,yj__cloud_cover_IQR,yj__dew_point_IQR,yj__dew_point_std,yj__precip_sum,yj__came_to_work,yj__distance_active,yj__distance_high_speed_transportation,yj__distance_powered_vehicle,yj__distance_walking,yj__hours_active,yj__hours_high_speed_transportation,yj__hours_of_sleep,yj__hours_powered_vehicle,yj__hours_stationary_nhw,yj__hours_walking,yj__location_variance,yj__season_num,yj__distance_walking_hr,yj__hours_active_hr,yj__distance_active_hr,yj__distance_powered_vehicle_hr,yj__hours_high_speed_transportation_hr,yj__hours_of_sleep_hr,yj__distance_high_speed_transportation_hr,yj__hours_powered_vehicle_hr,yj__location_variance_hr,cat__gender_1.0,cat__marital_status_2.0,cat__race_6.0,cat__season_fall,cat__season_winter,cat__season_num_1.0,cat__season_num_2.0,non-skew__cloud_cover_mean,non-skew__cloud_cover_median,non-skew__cloud_cover_std,non-skew__dew_point_mean,non-skew__dew_point_median,non-skew__humidity_IQR,non-skew__humidity_mean,non-skew__humidity_median,non-skew__humidity_std,non-skew__temp_IQR,non-skew__temp_mean,non-skew__temp_median,non-skew__temp_std,remainder__Unnamed: 0.3,remainder__Unnamed: 0.2,remainder__Unnamed: 0.1,remainder__Unnamed: 0,remainder__idx,remainder__day,remainder__dt,remainder__participant_id,remainder__week,remainder__phq9_sum,remainder__phq9_1,remainder__phq9_2,remainder__phq9_3,remainder__phq9_4,remainder__phq9_5,remainder__phq9_6,remainder__phq9_7,remainder__phq9_8,remainder__phq9_9,remainder__v,remainder__phq9_cat_x,remainder__phq9_bin_x,remainder__phq2_1,remainder__phq2_2,remainder__phq2_sum,remainder__phq2_bin,remainder__sds_1,remainder__sds_2,remainder__sds_3,remainder__stress,remainder__support,remainder__sleep_1,remainder__sleep_2,remainder__sleep_3,remainder__mood_1,remainder__hours_accounted_for,remainder__hours_stationary,remainder__phq9_1_base,remainder__phq9_2_base,remainder__phq9_3_base,remainder__phq9_4_base,remainder__phq9_5_base,remainder__phq9_6_base,remainder__phq9_7_base,remainder__phq9_8_base,remainder__phq9_9_base,remainder__phq9_sum_base,remainder__age,remainder__screen_1,remainder__screen_2,remainder__screen_3,remainder__screen_4,remainder__bipolar,remainder__scz,remainder__alc_1,remainder__alc_2,remainder__alc_3,remainder__alc_sum,remainder__alc_cat,remainder__gad7_1,remainder__gad7_2,remainder__gad7_3,remainder__gad7_4,remainder__gad7_5,remainder__gad7_6,remainder__gad7_7,remainder__gad7_8,remainder__gad7_sum,remainder__gad_cat,remainder__mhs_1,remainder__mhs_2,remainder__mhs_3,remainder__mhs_4,remainder__mhs_5,remainder__mhs_sum,remainder__education,remainder__working,remainder__income_satisfaction,remainder__income_lastyear,remainder__bin_clin,remainder__num_id,remainder__week_id,remainder__day_of_week,remainder__month,remainder__change_sum,remainder__ending_week,remainder__change_binary,remainder__phq9_mean,remainder__phq9_bin_y,remainder__change_cat,remainder__phq9_cat_mean,remainder__phq9_cat_y,num_id
373,-0.8150014975704103,0.4763057411049668,0.3813902099225518,-0.6016882505038511,0.0,0.9194236125258425,-0.1091089451179962,-0.3855488894831389,0.224696120422666,1.079479749622091,-0.10910894511799622,1.7700515266760188,-0.3530183147593793,-0.26710517639915254,0.009998164083237095,0.2984646149993492,-1.7457431218879391,0.2731198581410507,1.3211540947167626,0.8419076254154387,-0.44402337083998955,-0.20995584041058796,-1.0690620795001804,-0.2222222222222221,-0.39193457529142883,-0.2460767629070483,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,37.71,39.21,0.15,0.54,0.57,0.09,12.84,54.53,55.67,7.11,396,396,396,396,EN00416_0,0.0,2016-11-10,EN00416,0.0,,,,,,,,,,,V2,4.0,1.0,4.0,3.0,7.0,1.0,,,,,,,,,,14.0,19.15,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,22.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,13.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,519.0,EN00416_0,4.0,11.0,,,,,,,,,519.0
374,1.0918381988980845,0.4675323525450805,0.46108597783964944,-0.6016882505038511,0.0,0.9265701585902638,-0.1091089451179962,-0.3855488894831389,0.9619282861680639,0.6623617815324305,-0.10910894511799622,-0.5723012691585356,-0.3530183147593793,0.7897192253535629,1.4305454188757374,0.4960031485705107,-1.7457431218879391,0.8209390751689882,0.4317832707129315,0.2527810467148069,-0.44402337083998955,-0.20995584041058796,0.17883867001944742,-0.2222222222222221,-0.39193457529142883,0.6540530760636214,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.28,0.12,0.26,32.89,31.95,0.1,0.66,0.66,0.08,6.04,43.86,46.67,5.28,397,397,397,397,EN00416_1,1.0,2016-11-11,EN00416,0.0,,,,,,,,,,,V2,,,4.0,2.0,6.0,1.0,,,,,,,,,,20.0,23.033,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,22.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,13.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,519.0,EN00416_0,5.0,11.0,,,,,,,,,519.0
385,-0.8150014975704103,0.09298801594669766,0.36181830983899693,-0.6016882505038511,0.0,-1.24078834429125,-0.1091089451179962,-0.3855488894831389,-1.631527261567915,-1.0932073668319715,-0.10910894511799622,-0.5723012691585356,-0.3530183147593793,-1.2990852216081559,-1.3871146984106195,-0.6769431128754416,-1.7457431218879391,-1.6368371001008475,-1.132687169739292,0.22676518772131682,-0.44402337083998955,-0.20995584041058796,0.17883867001944742,-0.2222222222222221,-0.39193457529142883,-0.22465390798960352,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,31.3,32.56,0.21,0.68,0.69,0.11,11.91,41.58,42.68,6.75,408,408,408,408,EN00416_2,2.0,2016-11-12,EN00416,0.0,,,,,,,,,,,V2,,,2.0,5.0,7.0,1.0,,,,,,,,,,22.0,23.95,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,22.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,13.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,519.0,EN00416_0,6.0,11.0,,,,,,,,,519.0
396,-0.8150014975704103,-0.4520074935593881,-0.5126927448680185,-0.6016882505038511,0.0,0.5139367597216808,-0.1091089451179962,-0.3855488894831389,0.8423686505136685,0.057873888694636,-0.10910894511799622,-0.5723012691585356,-0.3530183147593793,0.5764952265714975,0.7489294963792275,-0.07305704051575342,-1.7457431218879391,0.7358079840778216,-0.11613918939704028,-1.1149583834084364,-0.44402337083998955,-0.20995584041058796,0.17883867001944742,-0.2222222222222221,-0.39193457529142883,0.015407840014976724,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,32.65,32.3,0.21,0.56,0.58,0.12,11.73,48.29,48.74,5.8,419,419,419,419,EN00416_3,3.0,2016-11-13,EN00416,0.0,,,,,,,,,,,V2,,,2.0,2.0,4.0,1.0,,,,,,,,,,19.0,23.517,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,22.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,13.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,519.0,EN00416_0,7.0,11.0,,,,,,,,,519.0
407,-0.8150014975704103,0.8271145130573738,0.4573791256786824,-0.6016882505038511,0.0,0.30588791385332487,-0.1091089451179962,-0.3855488894831389,0.3835488385764058,0.057873888694636,-0.10910894511799622,-0.5723012691585356,-0.3530183147593793,-1.0062822766713635,0.009998164083237095,0.10322832476544848,-1.7457431218879391,1.1810535646815952,0.8007312083245115,-0.6953430945414719,-0.44402337083998955,-0.20995584041058796,0.17883867001944742,-0.2222222222222221,-0.39193457529142883,-1.731426291933597,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.02,0.0,0.04,39.11,39.01,0.11,0.7,0.7,0.08,10.1,48.72,45.53,5.58,430,430,430,430,EN00416_4,4.0,2016-11-14,EN00416,0.0,,,,,,,,,,,V2,,,2.0,3.0,5.0,1.0,,,,,,5.0,1.0,4.0,,8.0,13.45,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,22.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,13.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,519.0,EN00416_0,1.0,11.0,,,,,,,,,519.0
418,0.8069238069641801,-1.0177807786416067,-1.1935225023494291,-0.6016882505038511,0.0,0.972262141319951,-0.1091089451179962,-0.3855488894831389,0.7330392755597593,1.3676286086246539,-0.10910894511799622,-0.5723012691585356,-0.3530183147593793,0.8999280430723815,0.8089655390988386,0.25945745515045393,-1.7457431218879391,1.0721328143111803,1.7051371509940363,1.1974153587044567,-0.44402337083998955,-0.20995584041058796,0.17883867001944742,-0.2222222222222221,-0.39193457529142883,-0.4487760739574122,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.16,0.02,0.13,38.63,38.2,0.0,0.9,0.9,0.0,0.91,41.24,40.78,0.45,441,441,441,441,EN00416_5,5.0,2016-11-15,EN00416,0.0,,,,,,,,,,,V2,,,3.0,3.0,6.0,1.0,,,,,,,,,,13.0,18.517,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,22.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,13.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,519.0,EN00416_0,2.0,11.0,,,,,,,,,519.0
429,0.461711116550906,0.669077029083079,0.4122178790729893,-0.6016882505038511,0.0,0.5225279272704214,-0.1091089451179962,-0.3855488894831389,0.9389436785362311,0.5634548725088232,-0.10910894511799622,-0.5723012691585356,-0.3530183147593793,-1.1112120344451364,1.13789599989476,-0.056503647932460495,-1.7457431218879391,0.5781309770645274,0.14074366060170382,-1.3793476969471974,-0.44402337083998955,-0.20995584041058796,0.17883867001944742,-0.2222222222222221,-0.39193457529142883,0.4854821208143742,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.2,0.02,0.32,42.81,43.97,0.05,0.86,0.89,0.05,7.02,46.68,47.48,3.88,452,452,452,452,EN00416_6,6.0,2016-11-16,EN00416,0.0,,,,,,,,,,,V2,,,3.0,4.0,7.0,1.0,,,,,,,,,,24.0,23.217,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,22.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,13.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,519.0,EN00416_0,3.0,11.0,,,,,,,,,519.0
440,-0.8150014975704103,0.4719263930870045,0.13366830503463378,-0.6016882505038511,0.0,-1.24078834429125,-0.1091089451179962,-0.3855488894831389,-1.631527261567915,-1.0932073668319715,-0.10910894511799622,-0.5723012691585356,-0.3530183147593793,-1.2990852216081559,-1.3871146984106195,-0.4938452809309757,-1.7457431218879391,0.2807523961002322,0.32250615252571185,0.22676518772131682,2.2676118256822546,3.379596798816442,0.17883867001944742,4.4999998965251145,1.7798335894766522,-0.179814263276226,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,48.86,49.61,0.15,0.69,0.67,0.11,10.57,59.66,60.99,6.72,463,463,463,463,EN00416_7,7.0,2016-11-17,EN00416,1.0,,,,,,,,,,,V2,4.0,1.0,4.0,3.0,7.0,1.0,,,,,,,,,,,9.167,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,22.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,13.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,519.0,EN00416_1,4.0,11.0,,,,,,,,,519.0
451,1.4681642515883209,1.8334683903286444,1.8943029769906015,0.22213463389045224,0.0,0.24773252911871715,-0.1091089451179962,-0.3855488894831389,1.4086627253756072,-0.09875889130182182,-0.10910894511799622,1.873031425122715,-0.3530183147593793,0.34209196109776135,1.650126200482071,0.14042557360548202,-1.7457431218879391,1.4562573835018036,-0.26419264192421654,-1.9481787979438658,-0.44402337083998955,-0.20995584041058796,1.9736694330931575,-0.2222222222222221,-0.39193457529142883,0.21889745220354345,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.55,0.65,0.38,43.15,47.63,0.04,0.65,0.65,0.04,17.26,54.77,59.08,10.0,474,474,474,474,EN00416_8,8.0,2016-11-18,EN00416,1.0,10.0,1.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,V2,,,,,,,3.0,1.0,2.0,1.0,9.0,,,,2.0,19.0,19.8,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,22.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,13.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,519.0,EN00416_1,5.0,11.0,,,,,,,,,519.0
457,1.6192758727590084,1.05396164184912,0.9630662405975875,-0.6016882505038511,0.0,0.5164022968188929,-0.1091089451179962,-0.3855488894831389,0.3444679259537947,0.20193490074650666,-0.10910894511799622,-0.5723012691585356,-0.3530183147593793,-0.10342093096095122,0.23054210512730144,-0.2019068380008972,-1.7457431218879391,0.29685146639116616,0.19076548446282404,-0.8802557705080252,-0.44402337083998955,-0.20995584041058796,0.17883867001944742,-0.2222222222222221,-0.39193457529142883,-0.4742518433150115,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.63,1.0,0.44,21.56,22.27,0.2,0.65,0.61,0.1,2.85,32.25,32.87,2.94,480,480,480,480,EN00416_9,9.0,2016-11-19,EN00416,1.0,,,,,,,,,,,V2,,,4.0,4.0,8.0,1.0,,,,,,,,,,16.0,23.35,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,22.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,13.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,519.0,EN00416_1,6.0,11.0,,,,,,,,,519.0
