Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Type,Date,Date Added,Access Date,Num Pages,Volume
WQWZSIL8,journalArticle,2022,"Pratap, Abhishek; Homiar, Ava; Waninger, Luke; Herd, Calvin; Suver, Christine; Volponi, Joshua; Anguera, Joaquin A.; Areán, P.",Real-world behavioral dataset from two fully remote smartphone-based randomized clinical trials for depression,Scientific Data,,,10.1038/s41597-022-01633-7,https://www.semanticscholar.org/paper/0dd0b4083dd99b8cf8bd6eab09ff6064547864cc,"Most people with mental health disorders cannot receive timely and evidence-based care despite billions of dollars spent by healthcare systems. Researchers have been exploring using digital health technologies to measure behavior in real-world settings with mixed results. There is a need to create accessible and computable digital mental health datasets to advance inclusive and transparently validated research for creating robust real-world digital biomarkers of mental health. Here we share and describe one of the largest and most diverse real-world behavior datasets from over two thousand individuals across the US. The data were generated as part of the two NIMH-funded randomized clinical trials conducted to assess the effectiveness of delivering mental health care continuously remotely. The longitudinal dataset consists of self-assessment of mood, depression, anxiety, and passively gathered phone-based behavioral data streams in real-world settings. This dataset will provide a timely and long-term data resource to evaluate analytical approaches for developing digital behavioral markers and understand the effectiveness of mental health care delivered continuously and remotely.","Original Paper, Protocol Paper",2022,2026-05-24 21:42:21,,,9
7DDCQ4J8,journalArticle,2021,"Zhang, Yuezhou; Folarin, A.; Sun, Shaoxiong; Cummins, N.; Vairavan, S.; Bendayan, R.; Ranjan, Y.; Rashid, Z.; Conde, P.; Stewart, C.; Laiou, P.; Sankesara, H.; Matcham, F.; White, K.; Oetzmann, C.; Ivan, A.; Lamers, F.; Siddi, S.; Vilella, E.; Simblett, S.; Rintala, A.; Bruce, S.; Mohr, D.; Myin‐Germeys, I.; Wykes, T.; Haro, J.; Penninx, B.; Narayan, V.; Annas, P.; Hotopf, M.; Dobson, R.",Longitudinal Relationships Between Depressive Symptom Severity and Phone-Measured Mobility: Dynamic Structural Equation Modeling Study,JMIR Mental Health,,,10.2196/34898,https://www.semanticscholar.org/paper/fe3072223fdb38f8bca752131afe1f0132cdb77b,"Background
 The mobility of an individual measured by phone-collected location data has been found to be associated with depression; however, the longitudinal relationships (the temporal direction of relationships) between depressive symptom severity and phone-measured mobility have yet to be fully explored. 
Objective
We aimed to explore the relationships and the direction of the relationships between depressive symptom severity and phone-measured mobility over time. Methods Data used in this paper came from a major EU program, called the Remote Assessment of Disease and Relapse–Major Depressive Disorder, which was conducted in 3 European countries. Depressive symptom severity was measured with the 8-item Patient Health Questionnaire (PHQ-8) through mobile phones every 2 weeks. Participants’ location data were recorded by GPS and network sensors in mobile phones every 10 minutes, and 11 mobility features were extracted from location data for the 2 weeks prior to the PHQ-8 assessment. Dynamic structural equation modeling was used to explore the longitudinal relationships between depressive symptom severity and phone-measured mobility. 
Results 
This study included 2341 PHQ-8 records and corresponding phone-collected location data from 290 participants (age: median 50.0 IQR 34.0, 59.0) years; of whom 215 (74.1%) were female, and 149 (51.4%) were employed. Significant negative correlations were found between depressive symptom severity and phone-measured mobility, and these correlations were more significant at the within-individual level than the between-individual level. For the direction of relationships over time, Homestay (time at home) (φ=0.09, P=.01), Location Entropy (time distribution on different locations) (φ=−0.04, P=.02), and Residential Location Count (reflecting traveling) (φ=0.05, P=.02) were significantly correlated with the subsequent changes in the PHQ-8 score, while changes in the PHQ-8 score significantly affected (φ=−0.07, P<.001) the subsequent periodicity of mobility. 
Conclusions 
Several phone-derived mobility features have the potential to predict future depression, which may provide support for future clinical applications, relapse prevention, and remote mental health monitoring practices in real-world settings.",Analytic Paper,2021,2026-05-24 21:42:21,,,9
SJCWWQD9,journalArticle,2022,"White, K.; Williamson, C.; Bergou, Nicol; Oetzmann, C.; Angel, V. de; Matcham, F.; Henderson, C.; Hotopf, M.",A systematic review of engagement reporting in remote measurement studies for health symptom tracking,NPJ Digital Medicine,,,10.1038/s41746-022-00624-7,https://www.semanticscholar.org/paper/7be42d9fdedc56a2120a26ffda6b0c20a31ae3b6,"Remote Measurement Technologies (RMTs) could revolutionise management of chronic health conditions by providing real-time symptom tracking. However, the promise of RMTs relies on user engagement, which at present is variably reported in the field. This review aimed to synthesise the RMT literature to identify how and to what extent engagement is defined, measured, and reported, and to present recommendations for the standardisation of future work. Seven databases (Embase, MEDLINE and PsycINFO (via Ovid), PubMed, IEEE Xplore, Web of Science, and Cochrane Central Register of Controlled Trials) were searched in July 2020 for papers using RMT apps for symptom monitoring in adults with a health condition, prompting users to track at least three times during the study period. Data were synthesised using critical interpretive synthesis. A total of 76 papers met the inclusion criteria. Sixty five percent of papers did not include a definition of engagement. Thirty five percent included both a definition and measurement of engagement. Four synthetic constructs were developed for measuring engagement: (i) engagement with the research protocol, (ii) objective RMT engagement, (iii) subjective RMT engagement, and (iv) interactions between objective and subjective RMT engagement. The field is currently impeded by incoherent measures and a lack of consideration for engagement definitions. A process for implementing the reporting of engagement in study design is presented, alongside a framework for definition and measurement options available. Future work should consider engagement with RMTs as distinct from the wider eHealth literature, and measure objective versus subjective RMT engagement.","Review Paper, Engagement/Efficacy",2022,2026-05-24 21:42:22,,,5
ZERGSL59,journalArticle,2022,"Angel, V. de; Adeleye, Fadekemi; Zhang, Yuezhou; Cummins, N.; Munir, Sara; Lewis, S.; Puyal, E. Laporta; Matcham, F.; Sun, Shaoxiong; Folarin, A.; Ranjan, Y.; Conde, P.; Rashid, Z.; Dobson, R.; Hotopf, M.",The Feasibility of Implementing Remote Measurement Technologies in Psychological Treatment for Depression: Mixed Methods Study on Engagement,JMIR Mental Health,,,10.2196/42866,https://www.semanticscholar.org/paper/982ad698ebc8aeca220951b1401555895687f15e,"Background 
Remote measurement technologies (RMTs) such as smartphones and wearables can help improve treatment for depression by providing objective, continuous, and ecologically valid insights into mood and behavior. Engagement with RMTs is varied and highly context dependent; however, few studies have investigated their feasibility in the context of treatment. 
Objective 
A mixed methods design was used to evaluate engagement with active and passive data collection via RMT in people with depression undergoing psychotherapy. We evaluated the effects of treatment on 2 different types of engagement: study attrition (engagement with study protocol) and patterns of missing data (engagement with digital devices), which we termed data availability. Qualitative interviews were conducted to help interpret the differences in engagement. Methods A total of 66 people undergoing psychological therapy for depression were followed up for 7 months. Active data were gathered from weekly questionnaires and speech and cognitive tasks, and passive data were gathered from smartphone sensors and a Fitbit (Fitbit Inc) wearable device. 
Results 
The overall retention rate was 60%. Higher-intensity treatment (χ21=4.6; P=.03) and higher baseline anxiety (t56.28=−2.80, 2-tailed; P=.007) were associated with attrition, but depression severity was not (t50.4=−0.18; P=.86). A trend toward significance was found for the association between longer treatments and increased attrition (U=339.5; P=.05). Data availability was higher for active data than for passive data initially but declined at a sharper rate (90%-30% drop in 7 months). As for passive data, wearable data availability fell from a maximum of 80% to 45% at 7 months but showed higher overall data availability than smartphone-based data, which remained stable at the range of 20%-40% throughout. Missing data were more prevalent among GPS location data, followed by among Bluetooth data, then among accelerometry data. As for active data, speech and cognitive tasks had lower completion rates than clinical questionnaires. The participants in treatment provided less Fitbit data but more active data than those on the waiting list. 
Conclusions 
Different data streams showed varied patterns of missing data, despite being gathered from the same device. Longer and more complex treatments and clinical characteristics such as higher baseline anxiety may reduce long-term engagement with RMTs, and different devices may show opposite patterns of missingness during treatment. This has implications for the scalability and uptake of RMTs in health care settings, the generalizability and accuracy of the data collected by these methods, feature construction, and the appropriateness of RMT use in the long term.","Engagement/Efficacy, Protocol Paper",2022,2026-05-24 21:42:22,,,10
BRJKZABG,journalArticle,2018,"Pratap, Abhishek; Renn, B.; Volponi, Joshua; Mooney, S.; Gazzaley, A.; Areán, P.; Anguera, Joaquin A.",Using Mobile Apps to Assess and Treat Depression in Hispanic and Latino Populations: Fully Remote Randomized Clinical Trial,Journal of Medical Internet Research,,,10.2196/10130,https://www.semanticscholar.org/paper/44e5709310469d1c03d829d9e9a4d4078297eb93,"Background 
Most people with mental health disorders fail to receive timely access to adequate care. US Hispanic/Latino individuals are particularly underrepresented in mental health care and are historically a very difficult population to recruit into clinical trials; however, they have increasing access to mobile technology, with over 75% owning a smartphone. This technology has the potential to overcome known barriers to accessing and utilizing traditional assessment and treatment approaches. 
Objective 
This study aimed to compare recruitment and engagement in a fully remote trial of individuals with depression who either self-identify as Hispanic/Latino or not. A secondary aim was to assess treatment outcomes in these individuals using three different self-guided mobile apps: iPST (based on evidence-based therapeutic principles from problem-solving therapy, PST), Project Evolution (EVO; a cognitive training app based on cognitive neuroscience principles), and health tips (a health information app that served as an information control). Methods We recruited Spanish and English speaking participants through social media platforms, internet-based advertisements, and traditional fliers in select locations in each state across the United States. Assessment and self-guided treatment was conducted on each participant's smartphone or tablet. We enrolled 389 Hispanic/Latino and 637 non-Hispanic/Latino adults with mild to moderate depression as determined by Patient Health Questionnaire-9 (PHQ-9) score≥5 or related functional impairment. Participants were first asked about their preferences among the three apps and then randomized to their top two choices. Outcomes were depressive symptom severity (measured using PHQ-9) and functional impairment (assessed with Sheehan Disability Scale), collected over 3 months. Engagement in the study was assessed based on the number of times participants completed active surveys. 
Results 
We screened 4502 participants and enrolled 1040 participants from throughout the United States over 6 months, yielding a sample of 348 active users. Long-term engagement surfaced as a key issue among Hispanic/Latino participants, who dropped from the study 2 weeks earlier than their non-Hispanic/Latino counterparts (P<.02). No significant differences were observed for treatment outcomes between those identifying as Hispanic/Latino or not. Although depressive symptoms improved (beta=–2.66, P=.006) over the treatment course, outcomes did not vary by treatment app. 
Conclusions 
Fully remote mobile-based studies can attract a diverse participant pool including people from traditionally underserved communities in mental health care and research (here, Hispanic/Latino individuals). However, keeping participants engaged in this type of “low-touch” research study remains challenging. Hispanic/Latino populations may be less willing to use mobile apps for assessing and managing depression. Future research endeavors should use a user-centered design to determine the role of mobile apps in the assessment and treatment of depression for this population, app features they would be interested in using, and strategies for long-term engagement. Trial Registration Clinicaltrials.gov NCT01808976; https://clinicaltrials.gov/ct2/show/NCT01808976 (Archived by WebCite at http://www.webcitation.org/70xI3ILkz)",Protocol Paper,2018,2026-05-24 21:42:22,,,20
8E9RTIQS,journalArticle,2024,"Simon, L.; Terhorst, Y.; Cohrdes, C.; Pryss, Rüdiger; Steinmetz, L.; Elhai, Jon D.; Baumeister, Harald",The predictive value of supervised machine learning models for insomnia symptoms through smartphone usage behavior,Sleep Medicine: X,,,10.1016/j.sleepx.2024.100114,https://www.semanticscholar.org/paper/880ecd5aa8c529ad8d81518cf1256bb075faa8c8,"Introduction
Digital phenotyping can be an innovative and unobtrusive way to improve the detection of insomnia. This study explores the correlations between smartphone usage features (SUF) and insomnia symptoms and their predictive value for detecting insomnia symptoms.
Methods
In an observational study of a German convenience sample, the Insomnia Severity Index (ISI) and smartphone usage data (e.g., time the screen was active, longest time the screen was inactive in the night) for the previous 7 days were obtained. SUF (e.g., min, mean) were calculated from the smartphone usage data. Correlation analyses between the ISI and SUF were conducted. For the specification of the machine learning models (ML), 80 % of the data was allocated to training, 20 % to testing, and five-fold cross-validation was used. Six algorithms (support vector machine, XGBoost, Random Forest, k-Nearest-Neighbor, Naive Bayes, and Logistic Regressions) were specified to predict ISI scores ≥15.
Results
752 participants (51.1 % female, mean ISI = 10.23, mean age = 41.92) were included in the analyses. Small correlations between some of the SUF and insomnia symptoms were found. In the ML models, sensitivity was low, ranging from 0.05 to 0.27 in the testing subsample. Random Forest and Naive Bayes were the best-performing algorithms. Yet, their AUCs (0.57, 0.58 respectively) in the testing subsample indicated a low discrimination capacity.
Conclusions
Given the small magnitude of the correlations and low discrimination capacity of the ML models, SUFs, as measured in this study, do not appear to be sufficient for detecting insomnia symptoms. Further research is necessary to explore whether examining intra-individual variations and subpopulations or employing alternative smartphone sensors yields more promising outcomes.

",Analytic Paper,2024,2026-05-24 21:42:22,,,7
U9VUNVWJ,journalArticle,2023,"Shen, Francis X.; Baum, Matthew L.; Martinez-Martin, Nicole; Miner, Adam S.; Abraham, Melissa; Brownstein, C.; Cortez, Nathan; Evans, Barbara J.; Germine, Laura T.; Glahn, David C.; Grady, Christine; Holm, Ingrid A.; Hurley, Elisa A.; Kimble, Sara; Lázaro-Muñoz, G.; Leary, Kimberlyn R.; Marks, Mason; Monette, Patrick J.; Onnela, J.; O'Rourke, P. P.; Rauch, Scott L.; Shachar, Carmel; Sen, Srijan; Vahia, I.; Vassy, J.; Baker, Justin T.; Bierer, Barbara E.; Silverman, Benjamin C.; noz, Gabriel L. azaro-Mu",Returning Individual Research Results from Digital Phenotyping in Psychiatry,The American journal of bioethics : AJOB,,,10.1080/15265161.2023.2180109,https://www.semanticscholar.org/paper/09b5070932f2decce77134b4af347b096f038c02,"Psychiatry is rapidly adopting digital phenotyping and artificial intelligence/machine learning tools to study mental illness based on tracking participants’ locations, online activity, phone and text message usage, heart rate, sleep, physical activity, and more. Existing ethical frameworks for return of individual research results (IRRs) are inadequate to guide researchers for when, if, and how to return this unprecedented number of potentially sensitive results about each participant’s real-world behavior. To address this gap, we convened an interdisciplinary expert working group, supported by a National Institute of Mental Health grant. Building on established guidelines and the emerging norm of returning results in participant-centered research, we present a novel framework specific to the ethical, legal, and social implications of returning IRRs in digital phenotyping research. Our framework offers researchers, clinicians, and Institutional Review Boards (IRBs) urgently needed guidance, and the principles developed here in the context of psychiatry will be readily adaptable to other therapeutic areas.",Visualization/Dissemination,2023,2026-05-24 21:42:22,,,24
ZJ68CJYF,journalArticle,2019,"Pratap, Abhishek; Allred, Ryan; Duffy, Jaden; Rivera, Donovan; Lee, H. S.; Renn, B.; Areán, P.",Contemporary Views of Research Participant Willingness to Participate and Share Digital Data in Biomedical Research,JAMA Network Open,,,10.1001/jamanetworkopen.2019.15717,https://www.semanticscholar.org/paper/03f05c73a2df53eec6480fb9a9514d0f0b193c54,"Key Points 
Are people willing to participate in research advertised on the internet, and is willingness to participate associated with type of study sponsor? 
Findings 
This mixed-methods survey and qualitative study of 914 respondents indicated that they were more likely to participate and share their social media data with researchers in university-led research studies than in studies conducted by the US federal government or pharmaceutical companies. However, only 49.3% indicated they would share their social media data at all. 
Meaning 
These findings indicate that researchers may face challenges in recruiting representative samples when recruiting from internet platforms.",Engagement/Efficacy,2019,2026-05-24 21:42:22,,,2
E76RKFWM,journalArticle,2023,"White, K.; Dawe-Lane, E.; Siddi, S.; Lamers, F.; Simblett, S.; Alacid, Gemma Riquelme; Ivan, A.; Myin‐Germeys, I.; Haro, J.; Oetzmann, C.; Popat, Priya; Rintala, A.; Rubio-Abadal, E.; Wykes, T.; Henderson, C.; Hotopf, M.; Matcham, F.",Understanding the Subjective Experience of Long-term Remote Measurement Technology Use for Symptom Tracking in People With Depression: Multisite Longitudinal Qualitative Analysis,JMIR Human Factors,,,10.2196/39479,https://www.semanticscholar.org/paper/a485253cc06b950daabc2f3c4509b39b1e133185,"Background 
Remote measurement technologies (RMTs) have the potential to revolutionize major depressive disorder (MDD) disease management by offering the ability to assess, monitor, and predict symptom changes. However, the promise of RMT data depends heavily on sustained user engagement over extended periods. In this paper, we report a longitudinal qualitative study of the subjective experience of people with MDD engaging with RMTs to provide insight into system usability and user experience and to provide the basis for future promotion of RMT use in research and clinical practice. 
Objective 
We aimed to understand the subjective experience of long-term engagement with RMTs using qualitative data collected in a longitudinal study of RMTs for monitoring MDD. The objectives were to explore the key themes associated with long-term RMT use and to identify recommendations for future system engagement. Methods In this multisite, longitudinal qualitative research study, 124 semistructured interviews were conducted with 99 participants across the United Kingdom, Spain, and the Netherlands at 3-month, 12-month, and 24-month time points during a study exploring RMT use (the Remote Assessment of Disease and Relapse-Major Depressive Disorder study). Data were analyzed using thematic analysis, and interviews were audio recorded, transcribed, and coded in the native language, with the resulting quotes translated into English. 
Results 
There were 5 main themes regarding the subjective experience of long-term RMT use: research-related factors, the utility of RMTs for self-management, technology-related factors, clinical factors, and system amendments and additions. 
Conclusions 
The subjective experience of long-term RMT use can be considered from 2 main perspectives: experiential factors (how participants construct their experience of engaging with RMTs) and system-related factors (direct engagement with the technologies). A set of recommendations based on these strands are proposed for both future research and the real-world implementation of RMTs into clinical practice. Future exploration of experiential engagement with RMTs will be key to the successful use of RMTs in clinical care.",Engagement/Efficacy,2023,2026-05-24 21:42:22,,,10
9AKQNX4H,journalArticle,2023,"Zhang, Yuezhou; Pratap, Abhishek; Folarin, A.; Sun, Shaoxiong; Cummins, N.; Matcham, F.; Vairavan, S.; Dineley, J.; Ranjan, Y.; Rashid, Z.; Conde, P.; Stewart, C.; White, K.; Oetzmann, C.; Ivan, A.; Lamers, F.; Siddi, S.; Rambla, Carla Hernández; Simblett, S.; Nica, R.; Mohr, D.; Myin‐Germeys, I.; Wykes, T.; Haro, J.; Penninx, B. W. J. H.; Annas, P.; Narayan, V.; Hotopf, M.; Dobson, R.",Long-term participant retention and engagement patterns in an app and wearable-based multinational remote digital depression study,NPJ Digital Medicine,,,10.1038/s41746-023-00749-3,https://www.semanticscholar.org/paper/3355e40e52f112d030c3918da84fba567c88f8a8,"Recent growth in digital technologies has enabled the recruitment and monitoring of large and diverse populations in remote health studies. However, the generalizability of inference drawn from remotely collected health data could be severely impacted by uneven participant engagement and attrition over the course of the study. We report findings on long-term participant retention and engagement patterns in a large multinational observational digital study for depression containing active (surveys) and passive sensor data collected via Android smartphones, and Fitbit devices from 614 participants for up to 2 years. Majority of participants (67.6%) continued to remain engaged in the study after 43 weeks. Unsupervised clustering of participants’ study apps and Fitbit usage data showed 3 distinct engagement subgroups for each data stream. We found: (i) the least engaged group had the highest depression severity (4 PHQ8 points higher) across all data streams; (ii) the least engaged group (completed 4 bi-weekly surveys) took significantly longer to respond to survey notifications (3.8 h more) and were 5 years younger compared to the most engaged group (completed 20 bi-weekly surveys); and (iii) a considerable proportion (44.6%) of the participants who stopped completing surveys after 8 weeks continued to share passive Fitbit data for significantly longer (average 42 weeks). Additionally, multivariate survival models showed participants’ age, ownership and brand of smartphones, and recruitment sites to be associated with retention in the study. Together these findings could inform the design of future digital health studies to enable equitable and balanced data collection from diverse populations.",Engagement/Efficacy,2023,2026-05-24 21:42:22,,,6
