"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"3WUBIJ6Q","preprint","2024","Palermo, Emma Holly; Fisher, Hadar; Blank, Jacob; Anderson, Claire; Bogdanov, Mario; Steinberger, David; Long, Yinru; Nowicki, Genevieve; Smith, Grace; Webb, Christian A.; Kuhn, Manuel; Pizzagalli, Diego A.","Characterizing Emotion Dynamics in Remitted Depression: A Network Approach Using Ecological Momentary Assessment","","","","10.31234/osf.io/qcpv8","https://osf.io/qcpv8_v1","The present work was partially supported by the National Institute of Mental Health grants P50MH119467 and R01 4R37MH068376-17 to Diego Pizzagalli. Dr. Webb was partially supported by NIMH R01MH116969, NCCIH R01AT011002, the Tommy Fuss Fund and a Young Investigator Grant from the Brain & Behavior Research Foundation. The funders had no role in study design, data collection and analysis. This data was presented as a poster at the 2024 Association for Behavioral and Cognitive Therapies Annual Conference.","2024-12-09","2025-10-31 18:14:52","2025-10-31 18:14:52","2025-10-31 18:14:52","","","","","","","Characterizing Emotion Dynamics in Remitted Depression","","","","","PsyArXiv","","en","https://creativecommons.org/licenses/by/4.0/legalcode","","","","DOI.org (Crossref)","","","","/Users/klj9278/Zotero/storage/FFCY5U3I/Palermo et al. - 2024 - Characterizing Emotion Dynamics in Remitted Depression A Network Approach Using Ecological Momentar.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RMLWTA5N","journalArticle","2025","Webb, Christian A; Hilt, Lori M; Swords, Caroline M; Bolt, Daniel M; Fisher, Hadar; Goldberg, Simon B","Ecological Momentary Assessment as a Measure of Intervention Change: Evaluation in 4 Digital Mental Health Trials","Journal of Medical Internet Research","","1438-8871","10.2196/69297","https://www.jmir.org/2025/1/e69297","Background: Ecological momentary assessment (EMA) is increasingly being incorporated into intervention studies to acquire a more fine-grained and ecologically valid assessment of change. The added utility of including relatively burdensome EMA measures in a clinical trial hinges on several psychometric assumptions, including that these measure are (1) reliable, (2) related to but not redundant with conventional self-report measures (convergent and discriminant validity), (3) sensitive to intervention-related change, and (4) associated with a clinically relevant criterion of improvement (criterion validity) above conventional self-report measures (incremental validity).","2025-09-09","2025-10-31 18:14:42","2025-10-31 18:14:42","2025-10-31 18:14:42","e69297","","","27","","J Med Internet Res","Ecological Momentary Assessment as a Measure of Intervention Change","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/klj9278/Zotero/storage/PUZU8Z4T/Webb et al. - 2025 - Ecological Momentary Assessment as a Measure of Intervention Change Evaluation in 4 Digital Mental.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PWRILREA","journalArticle","2025","Webb, Christian A.; Fisher, Hadar","Tracking Psychopathology Dimensions Through Passive Smartphone Sensing—Promises, Pitfalls, and Pathways to Clinical Integration","JAMA Network Open","","2574-3805","10.1001/jamanetworkopen.2025.19054","https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2836023","","2025-07-03","2025-10-31 18:14:38","2025-10-31 18:14:38","2025-10-31 18:14:38","e2519054","","7","8","","JAMA Netw Open","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/klj9278/Zotero/storage/E2Q7NUPW/Webb and Fisher - 2025 - Tracking Psychopathology Dimensions Through Passive Smartphone Sensing—Promises, Pitfalls, and Pathw.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YWXTDTHN","journalArticle","","Ruwaard, Jeroen; Kooistra, Lisa; Thong, Melissa","Ecological Momentary Assessment in Mental Health Research","","","","","","","","2025-10-26 14:00:02","2025-10-26 14:00:02","","","","","","","","","","","","","","","","","","","","Zotero","","","","/Users/klj9278/Zotero/storage/UFZXHUGM/Ruwaard et al. - Ecological Momentary Assessment in Mental Health Research.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HLJL2XWU","journalArticle","2021","Schoevers, R. A.; Van Borkulo, C. D.; Lamers, F.; Servaas, M.N.; Bastiaansen, J. A.; Beekman, A. T. F.; Van Hemert, A. M.; Smit, J. H.; Penninx, B. W. J. H.; Riese, H.","Affect fluctuations examined with ecological momentary assessment in patients with current or remitted depression and anxiety disorders","Psychological Medicine","","0033-2917, 1469-8978","10.1017/S0033291720000689","https://www.cambridge.org/core/product/identifier/S0033291720000689/type/journal_article","Background. There is increasing interest in day-to-day affect fluctuations of patients with depressive and anxiety disorders. Few studies have compared repeated assessments of positive affect (PA) and negative affect (NA) across diagnostic groups, and fluctuation patterns were not uniformly defined. The aim of this study is to compare affect fluctuations in patients with a current episode of depressive or anxiety disorder, in remitted patients and in controls, using affect instability as a core concept but also describing other measures of variability and adjusting for possible confounders. Methods. Ecological momentary assessment (EMA) data were obtained from 365 participants of the Netherlands Study of Depression and Anxiety with current (n = 95), remitted (n = 178) or no (n = 92) DSM-IV defined depression/anxiety disorder. For 2 weeks, five times per day, participants filled-out items on PA and NA. Affect instability was calculated as the root mean square of successive differences (RMSSD). Tests on group differences in RMSSD, within-person variance, and autocorrelation were performed, controlling for mean affect levels. Results. Current depression/anxiety patients had the highest affect instability in both PA and NA, followed by remitters and then controls. Instability differences between groups remained significant when controlling for mean affect levels, but differences between current and remitted were no longer significant. Conclusions. Patients with a current disorder have higher instability of NA and PA than remitted patients and controls. Especially with regard to NA, this could be interpreted as patients with a current disorder being more sensitive to internal and external stressors and having suboptimal affect regulation.","2021-08","2025-10-26 13:52:31","2025-10-26 13:52:31","2025-10-26 13:52:31","1906-1915","","11","51","","Psychol. Med.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/klj9278/Zotero/storage/DDIN79H5/Schoevers et al. - 2021 - Affect fluctuations examined with ecological momentary assessment in patients with current or remitt.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5LV6LGZJ","journalArticle","2021","Borsboom, Denny; Deserno, Marie K.; Rhemtulla, Mijke; Epskamp, Sacha; Fried, Eiko I.; McNally, Richard J.; Robinaugh, Donald J.; Perugini, Marco; Dalege, Jonas; Costantini, Giulio; Isvoranu, Adela-Maria; Wysocki, Anna C.; Van Borkulo, Claudia D.; Van Bork, Riet; Waldorp, Lourens J.","Network analysis of multivariate data in psychological science","Nature Reviews Methods Primers","","2662-8449","10.1038/s43586-021-00055-w","https://www.nature.com/articles/s43586-021-00055-w","In recent years, network analysis has been applied to identify and analyse patterns of statistical association in multivariate psychological data. In these approaches, network nodes represent variables in a data set, and edges represent pairwise conditional associations between variables in the data, while conditioning on the remaining variables. This Primer provides an anatomy of these techniques, describes the current state of the art and discusses open problems. We identify relevant data structures in which network analysis may be applied: cross-sectional data, repeated measures and intensive longitudinal data. We then discuss the estimation of network structures in each of these cases, as well as assessment techniques to evaluate network robustness and replicability. Successful applications of the technique in different research areas are highlighted. Finally, we discuss limitations and challenges for future research.","2021-08-19","2025-03-14 19:36:57","2025-03-14 19:36:57","2025-03-14 19:36:57","58","","1","1","","Nat Rev Methods Primers","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/klj9278/Zotero/storage/3CRHWIWV/Borsboom et al. - 2021 - Network analysis of multivariate data in psychological science.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BYBS6F43","journalArticle","2025","Siepe, Björn S.; Rieble, Carlotta L.; Tutunji, Rayyan; Rimpler, Aljoscha; März, Julius; Proppert, Ricarda K. K.; Fried, Eiko I.","Understanding Ecological-Momentary-Assessment Data: A Tutorial on Exploring Item Performance in Ecological-Momentary-Assessment Data","Advances in Methods and Practices in Psychological Science","","2515-2459, 2515-2467","10.1177/25152459241286877","https://journals.sagepub.com/doi/10.1177/25152459241286877","The use of ecological-momentary-assessment (EMA) data to study individuals in their everyday lives is popular in many areas of social and life sciences. At the same time, EMA data sets are complex, the psychometric properties of EMA items are often not investigated systematically, and scales are often neither standardized nor validated beyond their face validity. Here, we present different descriptive statistics and data-visualization techniques to increase the understanding of the performance of EMA items. We apply these techniques to a wide range of items used in a large EMA data set (599 participants, 360 time points) collected in the WARN-D study to investigate their distributions, contextual influences, change over time, sources of variability, and relationship with classical static measures of psychopathology. We discuss the theoretical and substantive implications of our findings and provide researchers with R code that they can adapt to their own EMA data, as well as literature recommendations for each topic. We hope to inspire more researchers to share in-depth descriptive summaries of their experience-sampling data such that the field can move forward in understanding the performance of EMA measures across contexts.","2025-01","2025-03-14 19:20:58","2025-03-14 19:20:58","2025-03-14 19:20:58","25152459241286877","","1","8","","Advances in Methods and Practices in Psychological Science","Understanding Ecological-Momentary-Assessment Data","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/klj9278/Zotero/storage/SK2YA6J9/Siepe et al. - 2025 - Understanding Ecological-Momentary-Assessment Data A Tutorial on Exploring Item Performance in Ecol.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53KJVAY5","journalArticle","2014","Kandemir, Melih; Vetek, Akos; Gönen, Mehmet; Klami, Arto; Kaski, Samuel","Multi-task and multi-view learning of user state","Neurocomputing","","09252312","10.1016/j.neucom.2014.02.057","https://linkinghub.elsevier.com/retrieve/pii/S0925231214005025","Several computational approaches have been proposed for inferring the affective state of the user, motivated for example by the goal of building improved interfaces that can adapt to the user's needs and internal state. While fairly good results have been obtained for inferring the user state under highly controlled conditions, a considerable amount of work remains to be done for learning high-quality estimates of subjective evaluations of the state in more natural conditions. In this work, we discuss how two recent machine learning concepts, multi-view learning and multi-task learning, can be adapted for user state recognition, and demonstrate them on two data collections of varying quality. Multi-view learning enables combining multiple measurement sensors in a justiﬁed way while automatically learning the importance of each sensor. Multi-task learning, in turn, tells how multiple learning tasks can be learned together to improve the accuracy. We demonstrate the use of two types of multi-task learning: learning both multiple state indicators and models for multiple users together. We also illustrate how the beneﬁts of multi-task learning and multi-view learning can be effectively combined in a uniﬁed model by introducing a novel algorithm.","2014-09","2025-02-25 19:56:38","2025-02-25 19:56:38","2025-02-25 19:56:38","97-106","","","139","","Neurocomputing","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/klj9278/Zotero/storage/ZPQSSPWX/Kandemir et al. - 2014 - Multi-task and multi-view learning of user state.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9HBASL7J","journalArticle","2012","Rot, Marije ann het; Hogenelst, Koen; Schoevers, Robert A.","Mood disorders in everyday life: A systematic review of experience sampling and ecological momentary assessment studies","Clinical Psychology Review","","0272-7358","10.1016/j.cpr.2012.05.007","https://www.sciencedirect.com/science/article/pii/S0272735812000712","In the past two decades, the study of mood disorder patients using experience sampling methods (ESM) and ecological momentary assessment (EMA) has yielded important findings. In patients with major depressive disorder (MDD), the dynamics of their everyday mood have been associated with various aspects of their lives. To some degree similar studies have been conducted in patients with bipolar disorder (BD). In this paper we present the results of a systematic review of all ESM/EMA studies in MDD and BD to date. We focus not only on the correlates of patients' everyday mood but also on the impact on treatment, residual symptoms in remitted patients, on findings in pediatric populations, on MDD/BD specificity, and on links with neuroscience. After reviewing these six topics, we highlight the benefits of ESM/EMA for researchers, clinicians, and patients, and offer suggestions for future studies.","2012-08-01","2025-01-21 15:46:43","2025-02-18 15:27:37","2025-01-21 15:46:43","510-523","","6","32","","Clinical Psychology Review","Mood disorders in everyday life","","","","","","","","","","","","ScienceDirect","","","","/Users/klj9278/Zotero/storage/ACHZK8WA/aan het Rot et al. - 2012 - Mood disorders in everyday life A systematic review of experience sampling and ecological momentary.pdf; /Users/klj9278/Zotero/storage/GBVP9VRS/S0272735812000712.html","","","Bipolar disorder; Event-contingent recording; Everyday life; Major depressive disorder; Mood; Within-person variation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IRSBJDIA","preprint","2024","Holstein, Vincent L.; Akre, Samir; Leenings, Ramona; Chung, Yoonho; Hahn, Tim; Baker, Justin T.","Predicting dimensions of depression from smartphone data","","","","10.1101/2024.01.08.23300679","http://medrxiv.org/lookup/doi/10.1101/2024.01.08.23300679","Depressive disorders are highly prevalent but demand nuanced personalized treatment that traditional approaches in psychiatry cannot address. This gap has prompted a surge of interest in leveraging digital technology, particularly smartphones, for remote monitoring to enhance outpatient care. This study utilizes the BRIGHTEN dataset to construct interpretable prediction models for overall depression severity, measured by PHQ-9, and various depression dimensions using a factor modelling approach.           Our factor model unveils a three-factor solution encompassing mood, somatic, and concentration/psychomotor-related factors. Machine learning models effectively predict both the PHQ-9 scores and individual factors, with feature importance methods analyses underscoring the influence of the PHQ-2 scale and communication-related features. These findings are corroborated by models trained on data subsets.           Through nested multi-level models, we identify between-subject effects for the PHQ-2 and select communication-related features, along with within-subject effects for these features. In summary, this study underscores the robust predictive capacity of ecological momentary assessments and highlights features of potential relevance for future investigations, such as communication-related features. We advocate for future studies to assess the cost-effectiveness and intervention potential of these models.","2024-01-09","2025-02-18 15:27:07","2025-02-18 15:27:07","2025-02-18 15:27:07","","","","","","","","","","","","Psychiatry and Clinical Psychology","","en","","","","","DOI.org (Crossref)","","","","/Users/klj9278/Zotero/storage/LNU9J46Y/Holstein et al. - 2024 - Predicting dimensions of depression from smartphone data.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
