,sub,r2_actual_vs_model,r2_actual_vs_avg,r2_model_increase_from_avg
0,1.0,,,
1,13.0,-0.9717572720543426,-1.0616274079123436,0.08987013585800097
2,14.0,-0.1379443580508637,-0.01061987872828607,-0.12732447932257762
3,29.0,-0.5611850831175578,-0.006564000342935472,-0.5546210827746223
4,44.0,-0.4476051664080134,-0.6606722380795467,0.21306707167153327
5,60.0,-0.7350057760814381,-0.30713348800119644,-0.4278722880802417
6,71.0,-0.5147905415012819,-0.008371687840290187,-0.5064188536609917
7,73.0,-0.7935885932177371,-0.023809523809523725,-0.7697790694082134
8,82.0,,,
9,94.0,-9.882992880324933,-11.408333333333324,1.5253404530083916
10,95.0,-0.014013351680199015,-0.06696478690570729,0.05295143522550827
11,100.0,,,
12,105.0,-0.30976917804578563,-0.22778704144830764,-0.081982136597478
13,127.0,,,
14,140.0,-3.4485351732817957,-0.6510416666666667,-2.7974935066151287
15,1117.0,-0.7055340737438467,-0.012071391101149409,-0.6934626826426973
16,1132.0,-0.1515050730239449,-0.1354248046874995,-0.01608026833644538
17,1136.0,-4.343459223367048,-3.7499999999999165,-0.5934592233671312
18,1160.0,-4.399179610993905,-4.399179610993905,0.0
19,1173.0,-2.235816465200233,-2.6529157045243115,0.41709923932407866
20,1191.0,,,
21,1202.0,-9.126666666666663,-9.126666666666663,0.0
22,1203.0,-8.721219101091702,-9.921571430482267,1.2003523293905651
23,1206.0,,,
24,1207.0,,,
25,1238.0,-4.348899715759861,-6.074999999999995,1.7261002842401343
26,1240.0,-1.4903788531726154,-0.31485312291679723,-1.1755257302558182
27,1243.0,-12.5882502022087,-4.028935185185198,-8.5593150170235
28,1261.0,,,
29,1264.0,-0.045959075769036684,-0.001721865010336776,-0.04423721075869991
30,1269.0,-0.8089203085858425,-0.0021058820293478053,-0.8068144265564947
31,1271.0,-0.4473502933160671,-0.1083569253415162,-0.33899336797455093
32,1272.0,-1.3295874856607313,-0.49362664473684115,-0.8359608409238901
33,1283.0,,,
34,1284.0,-0.050230886281518616,-0.030454782636195166,-0.01977610364532345
35,1305.0,-0.45538418873620334,-0.4132231404958673,-0.04216104824033606
36,1308.0,-0.38577037461784314,-0.3748662450096598,-0.010904129608183322
37,1313.0,-1.0417070386655451,-0.40960000000000063,-0.6321070386655445
38,1319.0,-2.291618566749155,-0.13656144453104724,-2.155057122218108
39,1323.0,-0.49662905057496687,-0.08785291852736776,-0.4087761320475991
40,1335.0,,,
41,1336.0,,,
42,1338.0,-0.4153583564356593,-0.3466629771238581,-0.06869537931180125
43,1341.0,-2.506546431830903,-3.514462809917367,1.0079163780864637
44,1348.0,-0.48405341502331445,-0.9215196165341166,0.4374662015108022
45,1349.0,-1.0570708498997443,-0.5073051948051948,-0.5497656550945496
46,1355.0,,,
47,1358.0,-0.7634522712834504,-0.5720296670176839,-0.19142260426576652
48,1382.0,-1.9872622252610839,-1.2207031249999991,-0.7665591002610848
49,1399.0,-0.796640083423082,-0.4783222581062334,-0.3183178253168486
50,1401.0,,,
51,1402.0,-49.580101737409464,-0.09765625000000044,-49.482445487409464
52,1404.0,,,
53,1414.0,0.1453769501696921,-0.006701173531419302,0.1520781237011114
54,1426.0,-6.485781714453504,-5.188023949633747,-1.2977577648197567
55,1430.0,,,
56,1431.0,,,
57,1442.0,-0.5174895133087534,-0.46879040369088854,-0.04869910961786483
58,1687.0,-0.6105100725131452,-0.4696320270395382,-0.14087804547360694
59,1688.0,-0.14383472886342363,-0.009792827298050089,-0.13404190156537354
60,1689.0,,,
