,sub,r2_actual_vs_model,r2_actual_vs_avg,r2_model_increase_from_avg
0,13.0,,,
1,14.0,-90.12802768166092,-90.12802768166092,0.0
2,29.0,,,
3,44.0,,,
4,60.0,,,
5,71.0,,,
6,73.0,,,
7,94.0,,,
8,95.0,-8.511203331013851,-16.17875,7.66754666898615
9,105.0,-26.377162629757823,-26.377162629757823,0.0
10,140.0,,,
11,1117.0,,,
12,1132.0,-86.45142857142868,-86.45142857142868,0.0
13,1136.0,-30.27059394323969,-27.300178571428564,-2.970415371811125
14,1158.0,-7.404902363084544,-6.435267857142859,-0.9696345059416842
15,1173.0,,,
16,1191.0,,,
17,1202.0,,,
18,1203.0,,,
19,1207.0,,,
20,1238.0,-0.7469327725928452,-0.6257440476190459,-0.12118872497379929
21,1243.0,,,
22,1246.0,-1.2656250000000013,-1.2656250000000013,0.0
23,1261.0,,,
24,1264.0,-7.741071428571422,-7.741071428571422,0.0
25,1269.0,,,
26,1271.0,-7.490380682075239,-6.679734002976189,-0.8106466790990501
27,1272.0,-20.82813333997118,-14.375744047619051,-6.45238929235213
28,1283.0,,,
29,1284.0,,,
30,1305.0,,,
31,1308.0,-4.273892799001958,-3.2410714285714244,-1.0328213704305336
32,1313.0,,,
33,1319.0,,,
34,1323.0,-1.1385745831451701,-1.5744047619047623,0.4358301787595922
35,1335.0,,,
36,1338.0,-98.59600000000007,-98.59600000000007,0.0
37,1341.0,,,
38,1358.0,-9.981792453683388,-9.669642857142849,-0.3121495965405394
39,1382.0,,,
40,1399.0,,,
41,1401.0,,,
42,1402.0,,,
43,1404.0,-1.587226427259616,-1.1904761904761911,-0.3967502367834248
44,1414.0,,,
45,1426.0,,,
46,1430.0,,,
47,1442.0,0.2086676409955388,-0.30201171874999955,0.5106793597455384
48,1687.0,,,
49,1688.0,,,
50,1692.0,-20.370242214532873,-20.370242214532873,0.0
51,1693.0,,,
52,1697.0,-44.78546712802767,-44.78546712802767,0.0
53,1707.0,,,
54,1708.0,,,
55,1710.0,,,
56,1715.0,,,
57,1716.0,,,
58,1718.0,,,
59,1719.0,,,
60,1721.0,-5.449826989619376,-5.449826989619376,0.0
61,1725.0,,,
62,1726.0,,,
63,1727.0,,,
64,1730.0,,,
65,1732.0,,,
66,1735.0,,,
67,1736.0,,,
68,1737.0,,,
69,1738.0,-0.8533333333333304,-0.8533333333333304,0.0
70,1740.0,,,
71,1742.0,,,
72,1743.0,-35.64843750000001,-35.64843750000001,0.0
73,1746.0,,,
74,1747.0,,,
75,1749.0,,,
76,1752.0,-2.9891945052029403,-2.7567968749999956,-0.23239763020294468
77,1753.0,-5.768638456690966,-6.5272607421875,0.7586222854965339
78,1756.0,,,
79,1757.0,,,
80,1758.0,,,
81,1759.0,,,
82,1760.0,,,
83,1763.0,,,
84,1765.0,,,
85,1766.0,,,
86,1767.0,,,
87,1769.0,-4.906243703528164,-3.750744047619053,-1.1554996559091109
88,1770.0,,,
89,1771.0,-11.332283632565396,-11.56382275132275,0.2315391187573539
90,1774.0,,,
91,1778.0,,,
92,1780.0,,,
93,1781.0,,,
94,1784.0,,,
95,1785.0,,,
96,1789.0,,,
97,1794.0,-1.012900948305473,-0.1904761904761907,-0.8224247578292823
98,1795.0,-1.1953777777777783,-1.1953777777777783,0.0
99,1798.0,,,
100,1799.0,,,
101,1800.0,,,
102,1801.0,-3.9254017933929743,-3.047619047619043,-0.8777827457739313
103,1803.0,,,
104,1804.0,-0.2829241071428572,-0.2829241071428572,0.0
105,1806.0,,,
106,1811.0,,,
107,1812.0,,,
108,1816.0,,,
109,1817.0,,,
110,1819.0,-10.540470543375926,-10.536458333333332,-0.004012210042594333
111,1824.0,,,
112,1825.0,,,
113,1827.0,,,
114,1828.0,-3.700694444444448,-3.700694444444448,0.0
115,1830.0,,,
116,1832.0,-3.410844881922343,-3.542410714285718,0.13156583236337482
117,1835.0,,,
118,1836.0,-17.567822793564474,-13.6521875,-3.915635293564474
119,1837.0,,,
120,1839.0,,,
121,1840.0,-4.044687500000006,-4.044687500000006,0.0
122,1842.0,,,
123,1844.0,,,
124,1846.0,-10.765711187160415,-7.358749999999997,-3.4069611871604177
125,1849.0,,,
126,1850.0,,,
127,1853.0,,,
128,1854.0,,,
129,1856.0,,,
130,1857.0,-2.472060597992282,-2.3892195767195785,-0.08284102127270332
131,1859.0,-0.7976129753746468,-0.625744047619047,-0.1718689277555998
132,1862.0,,,
133,1866.0,-0.02604166666666674,-0.02604166666666674,0.0
134,1868.0,,,
135,1869.0,-2.3932867884980484,-2.4053085519922255,0.012021763494177051
136,1870.0,,,
137,1871.0,-0.09409161195570426,-0.018601190476190466,-0.07549042147951379
138,1877.0,-1.8595865574697168,-1.0463169642857144,-0.8132695931840024
139,1883.0,,,
140,1885.0,,,
141,1888.0,-3.0166204986149534,-3.0166204986149534,0.0
142,1889.0,,,
143,1891.0,-0.7824074074074068,-0.7824074074074068,0.0
144,1893.0,,,
145,1894.0,-6.009212827988342,-6.009212827988342,0.0
146,1896.0,,,
147,1898.0,,,
148,1899.0,,,
149,1903.0,,,
150,1904.0,-27.993218084885207,-33.44047619047616,5.447258105590954
151,1905.0,,,
152,1906.0,,,
153,1908.0,-3.041079043290998,-2.9531249999999996,-0.08795404329099865
154,1911.0,,,
155,1912.0,,,
156,1913.0,,,
157,1916.0,,,
158,1917.0,,,
