,sub,r2_actual_vs_model,r2_actual_vs_avg,r2_model_increase_from_avg
0,13.0,-0.5239996837918972,-1.8382935669377147,1.3142938831458175
1,14.0,-0.0947778699937376,-0.0032730815819643766,-0.09150478841177323
2,17.0,0.0,0.0,0.0
3,29.0,-3.704213575272293e+31,-1.2390152578597447e+31,-2.4651983174125482e+31
4,44.0,-0.17480162152922674,-0.9317208364827421,0.7569192149535153
5,73.0,-0.1777796460829637,-9.512789848886705e-05,-0.17768451818447484
6,77.0,0.0,0.0,0.0
7,95.0,0.0,0.0,0.0
8,96.0,-0.0562013618748185,-0.17981460662111726,0.12361324474629876
9,109.0,-1.0815581318028576e+31,-3.9044576908201746e+31,2.8228995590173168e+31
10,111.0,-0.9358398437500002,-0.9358398437500002,0.0
11,136.0,-1.5250636919931724e+32,-1.1036899146538287e+32,-4.213737773393437e+31
12,141.0,-1.3007187072725968,-0.33911670400988947,-0.9616020032627073
13,161.0,-1.3559025719740196,-1.4623542524005493,0.10645168042652964
14,166.0,-0.1807844618193315,-0.22282549654154704,0.04204103472221554
15,167.0,-2.8340269641834843,-1.091262975778546,-1.7427639884049384
16,168.0,0.0864305236799422,-0.8202305627354225,0.9066610864153647
17,172.0,-0.5745698287724248,-0.17711218947842045,-0.39745763929400435
18,175.0,-0.39989823206913755,-1.0725446428571423,0.6726464107880048
19,184.0,0.0,0.0,0.0
20,186.0,-0.8012364332854958,-0.1158968845205921,-0.6853395487649037
21,194.0,-0.48994569056076864,-0.365768418773345,-0.12417727178742366
22,196.0,-0.06822012396424593,-0.2352000000000003,0.16697987603575437
23,198.0,-0.7373582230623816,-0.7373582230623816,0.0
24,199.0,-0.4293994204916143,-0.35017528732535075,-0.07922413316626353
25,207.0,-0.7131518610603131,-0.19549211462777993,-0.5176597464325332
26,1299.0,-0.3174309733363041,-0.3174309733363041,0.0
27,1314.0,-0.06170124464204263,-0.1271704160250149,0.06546917138297226
28,1318.0,-7.06263575161178e+30,-5.542492337011502e+31,4.8362287618503235e+31
29,1341.0,-1.935892602331537,-0.6782979381998273,-1.2575946641317097
30,1343.0,-19.456914827285207,-19.456914827285207,0.0
31,1349.0,-3.96353547364249,-3.96353547364249,0.0
32,1356.0,-0.9859670199074135,-0.000272478041078994,-0.9856945418663345
33,1374.0,-1.525603957766092,-1.0666666666666669,-0.45893729109942516
34,1390.0,0.0,0.0,0.0
35,1421.0,-3.932241288618598,-6.50892857142857,2.5766872828099725
36,1426.0,0.0,0.0,0.0
37,1444.0,-0.00034722222222249854,-0.00034722222222249854,0.0
38,1447.0,0.0,0.0,0.0
39,1452.0,0.0,0.0,0.0
40,1454.0,-1.6129721390746954,-0.00015190386173391524,-1.6128202352129615
41,1455.0,-0.4322150537407552,-0.43983624932988974,0.007621195589134544
42,1466.0,0.0,0.0,0.0
43,1467.0,-1.0372908731560004e+32,-4.4212337010684835e+31,-5.951675030491521e+31
44,1471.0,-0.9895614487779325,-1.0493725531379123,0.05981110435997983
45,1481.0,-0.6601115220314469,-0.04432613439988953,-0.6157853876315573
46,1488.0,0.05230709628277008,-0.6860851283628189,0.738392224645589
47,1494.0,-1.467740624535913e+32,-3.801816646835801e+31,-1.0875589598523329e+32
48,1496.0,-1.518341183190309,-0.8909090909090902,-0.6274320922812189
49,1497.0,-0.4206694197179208,-0.8282846304086526,0.4076152106907318
50,1504.0,-0.6979920023573527,-0.2562108876901674,-0.4417811146671853
51,1505.0,-0.07340951862210088,-0.07340951862210088,0.0
52,1506.0,-0.512249745390223,-0.512249745390223,0.0
53,1508.0,-1.4947055826558162,-0.8722867095280427,-0.6224188731277736
54,1521.0,-0.12523181154910357,-0.408976276901293,0.28374446535218945
55,1527.0,-0.40959999999999974,-0.40959999999999974,0.0
56,1534.0,-0.4270851308320882,-0.04563030663566092,-0.3814548241964273
57,1538.0,-0.2828482547260003,-0.07813142323263778,-0.2047168314933625
58,1553.0,-0.11727536494060575,-0.4198044659735347,0.30252910103292896
59,1563.0,-0.1023791652607875,-0.0005713315217392712,-0.10180783373904823
60,1564.0,-4.095800745191502,-4.095800745191502,0.0
61,1573.0,-0.6552391842274721,-0.7722681359044998,0.11702895167702776
62,1597.0,0.0,0.0,0.0
63,1616.0,-0.09586206625814797,-5.105494421276283,5.009632355018136
64,1617.0,-1.3509723140799519,-1.3509723140799519,0.0
65,1619.0,0.0,0.0,0.0
66,1629.0,-0.09422087124780165,-1.2561839671578272,1.1619630959100256
67,1633.0,-0.211485635438186,-0.021584024234693855,-0.18990161120349214
68,1638.0,-0.4459076350415512,-0.4459076350415512,0.0
69,1639.0,-0.09483556253501635,-0.09483556253501635,0.0
70,1641.0,-2.902606310013718,-2.902606310013718,0.0
71,1646.0,0.0,0.0,0.0
72,1663.0,-0.5157605931221398,-1.8829191569676,1.3671585638454602
73,1674.0,-0.6502017832219369,-0.11940298507462721,-0.5307987981473097
74,1682.0,-0.1901687327823689,-0.1901687327823689,0.0
75,1697.0,-0.033452360451915686,-0.06035502958579886,0.026902669133883172
76,1699.0,-0.34482915717539875,-0.34482915717539875,0.0
77,1709.0,-0.42448314880308846,-0.1268378319069572,-0.2976453168961313
78,1716.0,-0.5921036037826566,-0.35462628693675624,-0.23747731684590034
79,1960.0,-0.11281619472597182,-0.20924190466610026,0.09642570994012845
80,1961.0,-0.4819707714872312,-0.08127243018056052,-0.4006983413066707
81,1965.0,-0.040827134076286464,-0.040827134076286464,0.0
82,1966.0,-2.581725243321731e+30,-3.8378892970623283e+31,3.579716772730155e+31
83,1967.0,-1.3887875750174632,-0.13890842013888927,-1.249879154878574
84,1971.0,-0.2662602139620247,-0.005001653439153264,-0.26125856052287144
85,1974.0,-4.3502189937808975,-4.546599388340396,0.1963803945594984
86,1975.0,-0.30315877471080666,-0.008496624103406791,-0.29466215060739986
87,1976.0,-0.27998543125315245,-0.08860949799536089,-0.19137593325779156
88,1981.0,-0.43470718833418265,-0.06295409402411356,-0.3717530943100691
89,1982.0,-0.760609090909091,-0.760609090909091,0.0
90,1984.0,-0.2857142857142856,-0.2857142857142856,0.0
91,1986.0,0.04462314111427479,-0.05151527577823356,0.09613841689250835
92,1989.0,-0.20098525416062496,-0.4360849056603773,0.23509965149975232
93,1990.0,-0.3533996480704946,-0.3533996480704946,0.0
94,1991.0,-0.2155172413793105,-0.2155172413793105,0.0
95,1992.0,-2.6787228939306393,-2.6787228939306393,0.0
96,1993.0,-0.5900751556390407,-1.1014794685990332,0.5114043129599926
97,1995.0,-0.005434782608695565,-0.005434782608695565,0.0
98,1998.0,-0.2239862534542747,-0.09074985474159436,-0.13323639871268034
99,1999.0,0.0,0.0,0.0
100,2000.0,-5.174726046378605e+31,-5.174726046378605e+31,0.0
101,2001.0,-1.8305724943254873,-2.103987347436651,0.27341485311116376
102,2002.0,0.0,0.0,0.0
103,2006.0,-0.013732910156250222,-0.013732910156250222,0.0
104,2008.0,-2.1749864311592934e+31,-6.395343010968155e+31,4.220356579808862e+31
105,2009.0,1.0,1.0,0.0
106,2010.0,-0.41919965041928076,-0.7716836734693879,0.3524840230501072
107,2011.0,-2.7167676767676765,-2.7167676767676765,0.0
108,2014.0,-0.07335069444444442,-0.07335069444444442,0.0
109,2016.0,-1.0610877121237916,-11.94771634615384,10.886628634030048
110,2017.0,-2.8446529374690437,-3.45845734126984,0.6138044038007964
111,2018.0,-7.447167597231314,-5.198833449877831,-2.248334147353483
112,2020.0,-0.01712247324613525,-0.01712247324613525,0.0
113,2021.0,-3.4162009512485136,-3.4162009512485136,0.0
114,2023.0,-0.06726563972343413,-0.1295147136699315,0.06224907394649737
115,2025.0,0.0,0.0,0.0
116,2026.0,-4.151483905373541,-5.670340487616235,1.5188565822426936
117,2027.0,-0.10145871690079034,-0.018789144050104456,-0.08266957285068588
118,2031.0,-0.43483302411873814,-0.43483302411873814,0.0
119,2032.0,-1.3813886914212117,-2.3864337372029674,1.0050450457817557
120,2033.0,-0.2934519474561976,-1.0642954359122072,0.7708434884560096
121,2037.0,-2.4686953789558537,-6.91942513154634,4.450729752590487
122,2039.0,-0.4473397932269325,-0.47876370083816866,0.031423907611236146
123,2040.0,-0.12494586103301875,-0.15808387345678976,0.03313801242377101
124,2041.0,-0.1244940411618709,-0.10051169590643272,-0.023982345255438187
125,2043.0,-0.8769820462616496,-3.239907727797002,2.3629256815353523
126,2044.0,-0.02319437392165269,-0.5437200285685133,0.5205256546468606
127,2045.0,-0.06345406990361302,-0.08652963198417729,0.02307556208056427
128,2048.0,0.22946135028153303,-0.00020923897293156912,0.2296705892544646
129,2054.0,-0.2590685883214401,-0.7573535265591436,0.4982849382377035
130,2059.0,0.1797957244318792,-0.2199391171993912,0.3997348416312704
131,2062.0,-9.008927336836283,-9.008927336836283,0.0
132,2063.0,0.0,0.0,0.0
133,2065.0,0.02549024625107743,-0.16408496382046178,0.1895752100715392
134,2068.0,0.0510354898968195,-0.000846513700156093,0.05188200359697559
135,2069.0,0.0,0.0,0.0
136,2070.0,-0.00570583262890989,-0.00570583262890989,0.0
137,2072.0,-0.2092620905451592,-0.2092620905451592,0.0
138,2073.0,-0.15802469135802477,-0.15802469135802477,0.0
139,2074.0,-0.331156602738111,-0.11893033075299098,-0.21222627198512
140,2075.0,-0.2147207619941245,-0.07023117277714142,-0.14448958921698307
141,2077.0,-0.3869667658730156,-0.3869667658730156,0.0
142,2080.0,-16.823282877604168,-16.823282877604168,0.0
143,2083.0,-0.9373510954870832,-0.9171626984126984,-0.0201883970743848
144,2085.0,-0.2292392370030547,-1.1655923473142025,0.9363531103111478
145,2086.0,-29.940597992805127,-220.27369183885827,190.33309384605315
146,2090.0,-3.159828515027673e+32,-7.098446879634631e+31,-2.44998382706421e+32
147,2091.0,-0.4427594711122149,-1.7855259268949744,1.3427664557827594
148,2093.0,-0.2134673081547538,-0.1174590755010334,-0.09600823265372038
