,sub,r2_actual_vs_model,r2_actual_vs_avg,r2_model_increase_from_avg
0,13.0,-28.213333333333335,-28.213333333333335,0.0
1,14.0,-8.787721893491126,-8.787721893491126,0.0
2,17.0,-104.1428571428572,-104.1428571428572,0.0
3,29.0,-12.501275510204081,-12.501275510204081,0.0
4,44.0,-10.208650438883682,-0.32334183673469363,-9.885308602148989
5,73.0,-1.6246830092983942,-1.6246830092983942,0.0
6,77.0,-28.324687137047686,-4.207544642857146,-24.11714249419054
7,95.0,-0.32646615700844284,-0.08528309282896851,-0.24118306417947433
8,96.0,0.0,0.0,0.0
9,109.0,-1.7438500007756912,-1.4240710003750605,-0.3197790004006307
10,111.0,-0.015695715872082516,-0.015695715872082516,0.0
11,136.0,-0.08641975308641947,-0.08641975308641947,0.0
12,141.0,-0.026239067055393583,-0.026239067055393583,0.0
13,161.0,-1.4129181084198392,-1.4129181084198392,0.0
14,166.0,-13.408783783783786,-13.408783783783786,0.0
15,167.0,-22.690125091307536,-22.690125091307536,0.0
16,168.0,-2.422157343329489,-2.422157343329489,0.0
17,172.0,-0.05393066406250013,-0.05393066406250013,0.0
18,175.0,0.0,0.0,0.0
19,176.0,-1.7038716377344203,-1.7928063586545733,0.08893472092015298
20,184.0,-0.23615160349854225,-0.23615160349854225,0.0
21,186.0,-10.47437673130193,-10.47437673130193,0.0
22,194.0,-0.46666641951290067,-0.09800000000000009,-0.3686664195129006
23,196.0,-0.19730755100838482,-0.3402777777777779,0.14297022676939308
24,199.0,-1.3154640526845862e+32,-1.013004763889346e+32,-3.024592887952403e+31
25,207.0,-9.809361829453564,-2.333333333333332,-7.476028496120232
26,1299.0,0.0,0.0,0.0
27,1314.0,-7.435903063391799e+31,-4.327973374679751e+31,-3.107929688712048e+31
28,1318.0,-19.184861568220715,-1.7604166666666674,-17.424444901554047
29,1341.0,-6.62912044473335,-1.1484375,-5.48068294473335
30,1356.0,-0.9944903581267215,-0.9944903581267215,0.0
31,1374.0,-0.03499999999999992,-0.03499999999999992,0.0
32,1387.0,0.0,0.0,0.0
33,1390.0,0.0,0.0,0.0
34,1421.0,-1.1651199842024953,-1.2403124999999995,0.07519251579750419
35,1444.0,-2.675925925925926,-2.675925925925926,0.0
36,1447.0,-26.05736779268093,-10.894464285714282,-15.16290350696665
37,1452.0,-6.919200000000001,-6.919200000000001,0.0
